Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Marquez Callaway,NOR,5,4,41,1,3,26,6.5,15,3.8,8.0,0,,0,0.0,0,140.4
Deonte Harty,NOR,3,3,31,0,3,29,9.7,2,0.7,9.7,0,,0,0.0,0,109.7
Alvin Kamara,NOR,4,3,29,1,2,3,1.0,26,8.7,1.5,0,,0,0.0,0,134.4
Tony Jones,NOR,2,2,10,0,0,8,4.0,2,1.0,4.0,0,,0,0.0,0,87.5
Kenny Stills,NOR,3,1,17,0,1,16,16.0,1,1.0,28.3,0,,0,0.0,0,53.5
Adam Trautman,NOR,1,0,0,0,,0,,0,,4.0,0,,0,0.0,0,39.6
Chris Hogan,NOR,1,0,0,0,,0,,0,,13.0,0,,0,0.0,0,39.6
Juwan Johnson,NOR,1,0,0,0,,0,,0,,25.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Jakobi Meyers,NWE,14,9,94,0,2,79,8.8,15,1.7,12.4,0,,0,0.0,0,83.6
Kendrick Bourne,NWE,8,6,96,1,4,63,10.5,33,5.5,18.1,3,2.0,0,0.0,0,154.2
Hunter Henry,NWE,6,5,36,0,1,29,5.8,7,1.4,6.7,0,,0,0.0,1,52.1
Brandon Bolden,NWE,4,3,23,0,1,8,2.7,15,5.0,5.5,1,3.0,0,0.0,0,88.5
Damien Harris,NWE,2,2,-3,0,,-3,-1.5,0,0.0,-1.5,0,,0,0.0,0,79.2
J.J. Taylor,NWE,2,2,3,0,,2,1.0,1,0.5,1.0,0,,0,0.0,0,79.2
Nelson Agholor,NWE,8,2,17,0,2,9,4.5,8,4.0,22.5,0,,0,0.0,1,0.0
Jonnu Smith,NWE,6,1,4,0,,-4,-4.0,8,8.0,8.3,0,,2,33.3,1,0.0
James White,NWE,1,0,0,0,0,0,,0,,24.0,0,,0,0.0,0,39.6
