Quarter,Time,Tm,Detail,TEN,NWE
1.0,7:10,Patriots,Rob Gronkowski 5 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
2.0,13:48,Patriots,Akiem Hicks defensive fumble recovery in end zone (Stephen Gostkowski kick),0,14
,9:44,Titans,Ryan Succop 49 yard field goal,3,14
,9:23,Patriots,James White 30 yard pass from Tom Brady (Stephen Gostkowski kick),3,21
,1:44,Patriots,Stephen Gostkowski 43 yard field goal,3,24
3.0,10:05,Titans,Delanie Walker 7 yard pass from Zach Mettenberger (Ryan Succop kick),10,24
,5:09,Patriots,Stephen Gostkowski 38 yard field goal,10,27
4.0,6:52,Titans,Delanie Walker 57 yard pass from Zach Mettenberger (Ryan Succop kick failed),16,27
,3:30,Patriots,Stephen Gostkowski 42 yard field goal,16,30
,1:06,Patriots,Stephen Gostkowski 32 yard field goal,16,33
