Quarter,Time,Tm,Detail,WAS,CAR
1.0,9:56,Panthers,Jonathan Stewart 12 yard pass from Cam Newton (Graham Gano kick),0,7
,8:26,Redskins,DeSean Jackson 56 yard pass from Kirk Cousins (Dustin Hopkins kick),7,7
,0:41,Panthers,Mike Tolbert 3 yard pass from Cam Newton (Graham Gano kick),7,14
,0:27,Redskins,Andre Roberts 99 yard kickoff return (Dustin Hopkins kick),14,14
2.0,8:21,Panthers,Ted Ginn Jr. 2 yard pass from Cam Newton (Graham Gano kick),14,21
,5:14,Panthers,Greg Olsen 5 yard pass from Cam Newton (Graham Gano kick),14,28
,0:00,Panthers,Graham Gano 42 yard field goal,14,31
3.0,13:52,Panthers,Devin Funchess 5 yard pass from Cam Newton (Graham Gano kick),14,38
,4:04,Panthers,Graham Gano 48 yard field goal,14,41
4.0,10:36,Panthers,Graham Gano 25 yard field goal,14,44
,0:16,Redskins,"Safety, Brad Nortman tackle in end zone",16,44
