Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Blake Bortles,JAX,22,33,247,2,1,2,14,40,96.4,4,10,0,5,0,0,0,0,,0,0
Denard Robinson,JAX,0,0,0,0,0,0,0,,,17,94,1,39,2,2,10,0,12,0,0
Toby Gerhart,JAX,0,0,0,0,0,0,0,,,3,19,0,12,4,3,49,0,19,0,0
Jordan Todman,JAX,0,0,0,0,0,0,0,,,1,9,0,9,1,1,1,0,1,0,0
Allen Hurns,JAX,0,0,0,0,0,0,0,,,0,0,0,,9,7,112,2,40,0,0
Cecil Shorts,JAX,0,0,0,0,0,0,0,,,0,0,0,,7,5,40,0,20,0,0
Allen Robinson,JAX,0,0,0,0,0,0,0,,,0,0,0,,8,4,35,0,13,0,0
Clay Harbor,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Andy Dalton,CIN,19,31,233,2,2,2,1,36,79.1,2,11,0,8,0,0,0,0,,0,0
Jeremy Hill,CIN,0,0,0,0,0,0,0,,,24,154,2,60,1,1,9,0,9,0,0
James Wright,CIN,0,0,0,0,0,0,0,,,1,11,0,11,0,0,0,0,,0,0
Mohamed Sanu,CIN,0,0,0,0,0,0,0,,,1,9,0,9,8,4,95,1,36,0,0
Cedric Peerman,CIN,0,0,0,0,0,0,0,,,5,9,0,4,4,2,22,0,17,0,0
Jermaine Gresham,CIN,0,0,0,0,0,0,0,,,0,0,0,,6,5,36,0,12,0,0
Brandon Tate,CIN,0,0,0,0,0,0,0,,,0,0,0,,1,1,10,0,10,0,0
Rex Burkhead,CIN,0,0,0,0,0,0,0,,,0,0,0,,3,2,10,0,6,0,0
Ryan Hewitt,CIN,0,0,0,0,0,0,0,,,0,0,0,,2,1,7,0,7,0,0
A.J. Green,CIN,0,0,0,0,0,0,0,,,1,-3,0,-3,6,3,44,1,18,1,0
