Quarter,Time,Tm,Detail,JAX,CIN
1.0,1:21,Jaguars,Josh Scobee 25 yard field goal,3,0
2.0,11:48,Bengals,Mohamed Sanu 19 yard pass from Andy Dalton (Mike Nugent kick),3,7
,4:25,Bengals,Mike Nugent 31 yard field goal,3,10
,2:58,Bengals,"Safety, Bryan Angers punt blocked by Taylor Mays ball out of bounds in the end zone.",3,12
3.0,10:33,Bengals,Jeremy Hill 1 yard rush (Mike Nugent kick),3,19
,9:36,Jaguars,Allen Hurns 40 yard pass from Blake Bortles (Josh Scobee kick),10,19
4.0,13:54,Bengals,A.J. Green 18 yard pass from Andy Dalton (Mike Nugent kick),10,26
,9:55,Jaguars,Allen Hurns 18 yard pass from Blake Bortles (pass failed),16,26
,8:13,Jaguars,Denard Robinson 5 yard rush (Josh Scobee kick),23,26
,8:04,Bengals,Jeremy Hill 60 yard rush (Mike Nugent kick),23,33
