Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Kalif Raymond,DET,6,4,29,0,2,20,5.0,9,2.3,10.8,0,,1,16.7,0,77.8
Amon-Ra St. Brown,DET,6,4,61,0,2,12,3.0,49,12.3,8.0,0,,0,0.0,0,100.0
D'Andre Swift,DET,6,3,5,0,1,0,0.0,5,1.7,-0.8,0,,2,33.3,0,56.2
Trinity Benson,DET,3,2,17,0,,8,4.0,9,4.5,5.7,0,,0,0.0,0,81.2
Brock Wright,DET,2,1,2,0,,0,0.0,2,2.0,0.5,0,,0,0.0,0,56.2
T.J. Hockenson,DET,1,0,0,0,,0,,0,,-2.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Ray-Ray McCloud,PIT,12,9,63,0,4,57,6.3,6,0.7,6.8,0,,0,0.0,0,86.5
Diontae Johnson,PIT,13,7,83,0,4,46,6.6,37,5.3,8.6,0,,0,0.0,0,73.6
Pat Freiermuth,PIT,9,5,31,0,2,19,3.8,12,2.4,6.3,0,,1,11.1,0,62.7
Najee Harris,PIT,4,4,28,0,2,-2,-0.5,30,7.5,-0.5,1,4.0,0,0.0,0,95.8
Eric Ebron,PIT,2,2,13,0,,7,3.5,6,3.0,3.5,0,,0,0.0,0,93.7
James Washington,PIT,6,2,15,1,1,12,6.0,3,1.5,11.0,0,,0,0.0,0,81.9
Derek Watt,PIT,1,1,9,0,,0,0.0,9,9.0,0.0,0,,0,0.0,0,104.2
Kalen Ballage,PIT,2,0,0,0,,0,,0,,2.0,0,,1,50.0,1,0.0
