Quarter,Time,Tm,Detail,ATL,DAL
1.0,13:52,Cowboys,Joseph Randle 37 yard rush (Dan Bailey kick),0,7
,7:07,Cowboys,Joseph Randle 1 yard rush (Dan Bailey kick),0,14
,3:00,Falcons,Devonta Freeman 3 yard rush (Matt Bryant kick),7,14
2.0,7:25,Cowboys,Darren McFadden 2 yard rush (Dan Bailey kick),7,21
,2:18,Falcons,Devonta Freeman 2 yard rush (Matt Bryant kick),14,21
,0:40,Cowboys,Joseph Randle 1 yard rush (Dan Bailey kick),14,28
,0:00,Falcons,Matt Bryant 32 yard field goal,17,28
3.0,7:05,Falcons,Julio Jones 45 yard pass from Matt Ryan (Levine Toilolo pass from Matt Ryan),25,28
4.0,11:25,Falcons,Devonta Freeman 7 yard rush (Matt Bryant kick),32,28
,3:04,Falcons,Julio Jones 2 yard pass from Matt Ryan (Matt Bryant kick),39,28
