Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
T.J. Hockenson,DET,8,6,51,0,2,30,5.0,21,3.5,5.1,0,,0,0.0,0,91.1
Amon-Ra St. Brown,DET,4,4,18,0,2,9,2.3,9,2.3,2.3,0,,0,0.0,0,85.4
D'Andre Swift,DET,4,3,0,0,0,-18,-6.0,18,6.0,-2.5,0,,0,0.0,1,37.5
Godwin Igwebuike,DET,1,1,-4,0,,-6,-6.0,2,2.0,-6.0,0,,0,0.0,0,79.2
Brock Wright,DET,1,1,12,0,1,2,2.0,10,10.0,2.0,0,,0,0.0,0,116.7
Jason Cabinda,DET,1,0,0,0,0,0,,0,,-6.0,0,,1,100.0,0,39.6
Kalif Raymond,DET,1,0,0,0,,0,,0,,14.0,0,,0,0.0,0,39.6
Josh Reynolds,DET,3,0,0,0,,0,,0,,20.7,0,,0,0.0,1,0.0
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Austin Hooper,CLE,7,4,53,0,2,22,5.5,31,7.8,6.0,0,,0,0.0,0,81.2
Jarvis Landry,CLE,8,4,26,0,1,17,4.3,9,2.3,12.5,0,,0,0.0,2,17.7
Ja'Marcus Bradley,CLE,2,2,46,0,1,40,20.0,6,3.0,20.0,0,,0,0.0,0,118.7
Nick Chubb,CLE,2,2,14,1,2,-3,-1.5,17,8.5,-1.5,0,,0,0.0,0,135.4
David Njoku,CLE,4,2,20,0,1,17,8.5,3,1.5,4.5,0,,0,0.0,0,64.6
Rashard Higgins,CLE,5,1,17,0,1,17,17.0,0,0.0,13.2,0,,1,20.0,0,41.2
