Quarter,Time,Tm,Detail,DAL,WAS
1.0,10:15,Cowboys,Dan Bailey 36 yard field goal,3,0
,8:42,Redskins,DeSean Jackson 69 yard pass from Robert Griffin III (Kai Forbath kick),3,7
,6:25,Cowboys,Dez Bryant 65 yard pass from Tony Romo (Dan Bailey kick),10,7
,2:07,Cowboys,Dez Bryant 23 yard pass from Tony Romo (Dan Bailey kick),17,7
2.0,11:30,Cowboys,Dan Bailey 32 yard field goal,20,7
,8:10,Cowboys,DeMarco Murray 9 yard rush (Dan Bailey kick),27,7
,1:20,Redskins,Kai Forbath 25 yard field goal,27,10
4.0,6:45,Redskins,Robert Griffin III 2 yard rush (Kai Forbath kick),27,17
,3:31,Cowboys,Dan Bailey 23 yard field goal,30,17
,3:12,Cowboys,Anthony Spencer 5 yard defensive fumble return (Dan Bailey kick),37,17
,1:40,Cowboys,Joseph Randle 65 yard rush (Dan Bailey kick),44,17
