Quarter,Time,Tm,Detail,BAL,IND
1.0,12:17,Colts,Marcus Pollard 11 yard pass from Peyton Manning (Mike Vanderjagt kick),0,7
,10:35,Ravens,Matt Stover 41 yard field goal,3,7
,2:39,Ravens,Matt Stover 51 yard field goal,6,7
2.0,7:59,Colts,Mike Vanderjagt 39 yard field goal,6,10
,0:06,Colts,Mike Vanderjagt 50 yard field goal,6,13
3.0,4:26,Ravens,Jamal Lewis 5 yard rush (Matt Stover kick),13,13
4.0,14:55,Colts,Mike Vanderjagt 43 yard field goal,13,16
,12:53,Colts,Mike Vanderjagt 25 yard field goal,13,19
,9:04,Ravens,Jamal Lewis 5 yard rush (Matt Stover kick),20,19
,0:04,Colts,Mike Vanderjagt 38 yard field goal,20,22
