Quarter,Time,Tm,Detail,LAC,DEN
1.0,11:25,Chargers,Keenan Allen 14 yard pass from Justin Herbert (Cameron Dicker kick),7,0
,4:00,Broncos,Latavius Murray 2 yard rush (Brandon McManus kick),7,7
2.0,10:57,Chargers,Gerald Everett 3 yard pass from Justin Herbert (Cameron Dicker kick),14,7
,2:43,Broncos,Brandon McManus 33 yard field goal,14,10
,0:26,Chargers,Cameron Dicker 48 yard field goal,17,10
,0:06,Broncos,Eric Tomlinson 3 yard pass from Russell Wilson (Brandon McManus kick),17,17
3.0,11:54,Broncos,Tyler Badie 24 yard pass from Russell Wilson (Brandon McManus kick),17,24
,6:42,Chargers,Cameron Dicker 36 yard field goal,20,24
4.0,11:15,Broncos,Courtland Sutton 20 yard pass from Russell Wilson (Brandon McManus kick),20,31
,6:02,Chargers,Keenan Allen 3 yard pass from Chase Daniel (Josh Palmer pass from Chase Daniel),28,31
