Quarter,Time,Down,ToGo,Location,SFO,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, 49ers to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Steven Hauschka kicks off 70 yards, returned by Bruce Ellington for 22 yards (tackle by Malcolm Smith)",0.000,0.060
1,14:54,1,10,SFO 17,0,0,Colin Kaepernick pass complete short right to Bruce Miller for 9 yards (tackle by Bobby Wagner),-0.060,0.750
1,14:15,2,1,SFO 26,0,0,Frank Gore left guard for -4 yards (tackle by Michael Bennett),0.750,-0.620
1,13:34,3,5,SFO 22,0,0,"Carlos Hyde left tackle for 28 yards (tackle by Bruce Irvin). Penalty on Brandon Lloyd: Illegal Block Above the Waist, 10 yards",-0.620,1.600
1,13:19,1,10,SFO 40,0,0,Frank Gore left guard for 15 yards (tackle by Earl Thomas),1.600,2.590
1,12:47,1,10,SEA 45,0,0,Colin Kaepernick pass incomplete short middle intended for Anquan Boldin (defended by Tony McDaniel),2.590,2.040
1,12:42,2,10,SEA 45,0,0,Colin Kaepernick pass incomplete deep right intended for Vernon Davis,2.040,1.360
1,12:37,3,10,SEA 45,0,0,Colin Kaepernick sacked by K.J. Wright for -3 yards,1.360,0.070
1,11:59,4,13,SEA 48,0,0,"Andy Lee punts 38 yards, fair catch by Bryan Walters",0.070,0.380
1,11:52,1,10,SEA 10,0,0,Russell Wilson pass complete short right to Jermaine Kearse for 9 yards (tackle by Chris Borland and Michael Wilhoite),-0.380,0.240
1,11:15,2,1,SEA 19,0,0,Russell Wilson pass incomplete deep left intended for Paul Richardson,0.240,-0.370
1,11:08,3,1,SEA 19,0,0,Marshawn Lynch right guard for 3 yards (tackle by Alfonso Smith),-0.370,0.410
1,10:34,1,10,SEA 22,0,0,Marshawn Lynch left tackle for 2 yards (tackle by Alfonso Smith),0.410,0.140
1,9:59,2,8,SEA 24,0,0,Robert Turbin left tackle for 3 yards (tackle by Chris Borland),0.140,-0.160
1,9:19,3,5,SEA 27,0,0,"Penalty on James Carpenter: False Start, 5 yards (no play)",-0.160,-0.820
1,9:05,3,10,SEA 22,0,0,Russell Wilson sacked by Ahmad Brooks for -3 yards,-0.820,-2.140
1,8:32,4,13,SEA 19,0,0,"Jon Ryan punts 59 yards, returned by Bruce Ellington for 9 yards (tackle by O'Brien Schofield)",-2.140,-1.000
1,8:18,1,10,SFO 31,0,0,Colin Kaepernick right tackle for 3 yards (tackle by Bobby Wagner),1.000,0.870
1,7:37,2,7,SFO 34,0,0,Frank Gore left tackle for -2 yards (tackle by Kevin Williams),0.870,-0.100
1,6:55,3,9,SFO 32,0,0,Colin Kaepernick pass incomplete short left intended for Vernon Davis (defended by Bruce Irvin),-0.100,-1.240
1,6:51,4,9,SFO 32,0,0,"Andy Lee punts 49 yards, returned by Bryan Walters for no gain",-1.240,-0.150
1,6:42,1,10,SEA 19,0,0,"Russell Wilson pass complete short left to Doug Baldwin for 8 yards (tackle by Dontae Johnson). Penalty on Eric Reid: Unnecessary Roughness, 15 yards",0.150,1.730
1,6:21,1,10,SEA 42,0,0,Marshawn Lynch right guard for 4 yards (tackle by Ahmad Brooks),1.730,1.730
1,5:48,2,6,SEA 46,0,0,Russell Wilson pass incomplete short right intended for Marshawn Lynch,1.730,1.030
1,5:43,3,6,SEA 46,0,0,Russell Wilson pass complete short right to Doug Baldwin for 10 yards (tackle by Dontae Johnson),1.030,2.650
1,5:07,1,10,SFO 44,0,0,"Russell Wilson pass complete short middle to Paul Richardson for 9 yards (tackle by Eric Reid). Penalty on Eric Reid: Unnecessary Roughness, 15 yards",2.650,4.240
1,4:38,1,10,SFO 20,0,0,Marshawn Lynch right guard for 1 yard (tackle by Ahmad Brooks),4.240,3.820
1,3:57,2,9,SFO 19,0,0,Russell Wilson pass incomplete,3.820,3.100
1,3:49,3,9,SFO 19,0,0,Russell Wilson pass incomplete short middle intended for Tony Moeaki,3.100,2.180
1,3:45,4,9,SFO 19,0,3,Steven Hauschka 38 yard field goal good,2.180,3.000
1,3:45,,,SEA 35,0,3,"Steven Hauschka kicks off 68 yards, returned by Bruce Ellington for 36 yards (tackle by Tharold Simon). Penalty on Kassim Osgood: Offensive Holding, 10 yards",0.000,0.220
1,3:33,1,10,SFO 15,0,3,Colin Kaepernick pass complete deep right to Garrett Celek for 31 yards (tackle by Richard Sherman),-0.220,1.990
1,3:10,1,10,SFO 46,0,3,Frank Gore right tackle for 1 yard (tackle by Kam Chancellor),1.990,1.590
1,2:29,2,9,SFO 47,0,3,Frank Gore right tackle for -2 yards (tackle by Michael Bennett),1.590,0.630
