Quarter,Time,Tm,Detail,WAS,NYG
1.0,12:18,Giants,Shane Vereen 1 yard rush (Josh Brown kick),0,7
,9:35,Redskins,Dustin Hopkins 49 yard field goal,3,7
,6:10,Giants,Sterling Shepard 23 yard pass from Eli Manning (Josh Brown kick),3,14
,0:25,Redskins,Dustin Hopkins 33 yard field goal,6,14
2.0,8:34,Redskins,Dustin Hopkins 45 yard field goal,9,14
,4:12,Giants,Orleans Darkwa 2 yard rush (Josh Brown kick),9,21
,3:40,Redskins,DeSean Jackson 44 yard pass from Kirk Cousins (Dustin Hopkins kick),16,21
3.0,9:45,Redskins,Jamison Crowder 55 yard pass from Kirk Cousins (Dustin Hopkins kick),23,21
,6:29,Giants,Josh Brown 29 yard field goal,23,24
4.0,14:57,Redskins,Dustin Hopkins 25 yard field goal,26,24
,7:53,Giants,Josh Brown 30 yard field goal,26,27
,1:51,Redskins,Dustin Hopkins 37 yard field goal,29,27
