Quarter,Time,Tm,Detail,MIA,BUF
1.0,10:41,Bills,Gabriel Davis 18 yard pass from Josh Allen (Tyler Bass kick),0,7
,6:30,Dolphins,De'Von Achane 3 yard rush (Jason Sanders kick),7,7
,1:05,Bills,James Cook 1 yard rush (Tyler Bass kick),7,14
2.0,12:47,Dolphins,De'Von Achane 10 yard rush (Jason Sanders kick),14,14
,10:02,Bills,Stefon Diggs 11 yard pass from Josh Allen (Tyler Bass kick),14,21
,2:58,Bills,Stefon Diggs 55 yard pass from Josh Allen (Tyler Bass kick),14,28
,1:39,Bills,Tyler Bass 53 yard field goal,14,31
3.0,9:30,Dolphins,Braxton Berrios 11 yard pass from Tua Tagovailoa (pass failed),20,31
,5:21,Bills,Tyler Bass 33 yard field goal,20,34
,3:00,Bills,Stefon Diggs 13 yard pass from Josh Allen (Tyler Bass kick),20,41
4.0,14:55,Bills,Josh Allen 11 yard rush (Tyler Bass kick),20,48
