Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Keelan Cole,NYJ,3,3,54,1,1,22,7.3,32,10.7,7.3,0,,0,0.0,0,158.3
Tarik Black,NYJ,2,1,10,0,1,10,10.0,0,0.0,9.0,0,,1,50.0,0,64.6
Jeff Smith,NYJ,3,1,2,0,,1,1.0,1,1.0,0.7,0,,0,0.0,0,42.4
Tyler Kroft,NYJ,3,1,5,0,,5,5.0,0,0.0,3.3,0,,2,66.7,0,42.4
Jamison Crowder,NYJ,1,1,16,0,1,16,16.0,0,0.0,16.0,0,,0,0.0,0,118.7
Tevin Coleman,NYJ,1,0,0,0,,0,,0,,20.0,0,,0,0.0,0,39.6
Ty Johnson,NYJ,1,0,0,0,,0,,0,,12.0,0,,0,0.0,0,39.6
Michael Carter,NYJ,3,0,0,0,0,0,,0,,-1.0,0,,1,33.3,0,39.6
Denzel Mims,NYJ,2,0,0,0,,0,,0,,14.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Stefon Diggs,BUF,14,9,81,1,6,52,5.8,29,3.2,8.4,0,,1,7.1,0,103.6
Cole Beasley,BUF,5,4,31,0,1,20,5.0,11,2.8,5.2,0,,1,20.0,0,92.5
Gabriel Davis,BUF,14,3,39,0,2,30,10.0,9,3.0,15.9,0,,2,14.3,0,39.6
Dawson Knox,BUF,5,3,49,0,2,19,6.3,30,10.0,7.6,0,,0,0.0,0,92.9
Zack Moss,BUF,2,2,6,0,,1,0.5,5,2.5,0.5,0,,0,0.0,0,79.2
Devin Singletary,BUF,2,2,24,1,2,-7,-3.5,31,15.5,-3.5,1,2.0,0,0.0,0,156.2
Jake Kumerow,BUF,1,1,15,0,1,12,12.0,3,3.0,12.0,0,,0,0.0,0,118.7
Isaiah McKenzie,BUF,1,1,9,0,1,6,6.0,3,3.0,6.0,0,,0,0.0,0,104.2
Reggie Gilliam,BUF,1,0,0,0,,0,,0,,3.0,0,,1,100.0,0,39.6
