Quarter,Time,Tm,Detail,OAK,PIT
1.0,12:10,Raiders,Michael Crabtree 22 yard pass from Derek Carr (Sebastian Janikowski kick),7,0
,4:40,Steelers,Chris Boswell 34 yard field goal,7,3
2.0,13:57,Steelers,DeAngelo Williams 3 yard rush (DeAngelo Williams pass from Ben Roethlisberger),7,11
,6:05,Raiders,Amari Cooper 15 yard pass from Derek Carr (Sebastian Janikowski kick),14,11
,1:56,Steelers,DeAngelo Williams 3 yard rush (Chris Boswell kick),14,18
,0:29,Steelers,Chris Boswell 38 yard field goal,14,21
3.0,7:02,Raiders,Clive Walford 1 yard pass from Derek Carr (Sebastian Janikowski kick),21,21
4.0,12:13,Steelers,Martavis Bryant 14 yard pass from Ben Roethlisberger (Chris Boswell kick),21,28
,11:24,Steelers,Jesse James 4 yard pass from Ben Roethlisberger (Chris Boswell kick),21,35
,9:32,Raiders,Jamize Olawale 19 yard rush (Sebastian Janikowski kick),28,35
,1:15,Raiders,Michael Crabtree 38 yard pass from Derek Carr (Sebastian Janikowski kick),35,35
,0:02,Steelers,Chris Boswell 18 yard field goal,35,38
