Quarter,Time,Tm,Detail,SEA,SDG
1,10:49,Seahawks,Darrell Jackson 14 yard pass from Matt Hasselbeck (Rian Lindell kick),7,0
2,11:59,Chargers,Stephen Alexander 26 yard pass from Drew Brees (Steve Christie kick),7,7
,8:21,Chargers,Steve Christie 26 yard field goal,7,10
3,12:06,Chargers,Steve Christie 29 yard field goal,7,13
,0:59,Chargers,Eric Parker 31 yard pass from Drew Brees (Steve Christie kick),7,20
4,13:59,Seahawks,Shaun Alexander 2 yard rush (Rian Lindell kick),14,20
,8:37,Chargers,Fred McCrary 1 yard pass from Drew Brees (Reche Caldwell pass from Drew Brees),14,28
,6:14,Seahawks,Koren Robinson 19 yard pass from Matt Hasselbeck (Rian Lindell kick),21,28
,0:01,Seahawks,Matt Hasselbeck 1 yard rush (Rian Lindell kick),28,28
OT,5:02,Seahawks,Rian Lindell 24 yard field goal,31,28
