Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Devontae Booker,NYG,5,4,28,0,1,2,0.5,26,6.5,1.0,0,,0,0.0,0,90.0
Saquon Barkley,NYG,3,3,31,1,2,10,3.3,21,7.0,3.3,0,,0,0.0,0,149.3
Sterling Shepard,NYG,4,2,27,0,1,20,10.0,7,3.5,8.5,0,,0,0.0,1,32.3
Kenny Golladay,NYG,8,2,15,0,1,7,3.5,8,4.0,16.0,0,,0,0.0,0,39.6
Kyle Rudolph,NYG,2,2,66,0,2,23,11.5,43,21.5,11.5,0,,0,0.0,0,118.7
Pharoh Cooper,NYG,1,1,6,0,,6,6.0,0,0.0,6.0,0,,0,0.0,0,91.7
Evan Engram,NYG,4,1,8,0,,6,6.0,2,2.0,12.3,0,,1,25.0,0,39.6
John Ross,NYG,1,1,7,0,,4,4.0,3,3.0,4.0,1,1.0,0,0.0,0,95.8
Elijhaa Penny,NYG,1,1,3,1,1,0,0.0,3,3.0,0.0,0,,0,0.0,0,118.7
Darius Slayton,NYG,3,0,0,0,,0,,0,,13.7,0,,1,33.3,0,39.6
Keion Crossen,NYG,1,0,0,0,,0,,0,,13.0,0,,0,0.0,0,39.6
Chris Myarick,NYG,1,0,0,0,,0,,0,,0.0,0,,1,100.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Mike Williams,LAC,6,6,61,0,4,19,3.2,42,7.0,3.2,0,,0,0.0,0,109.0
Josh Palmer,LAC,7,5,66,1,3,45,9.0,21,4.2,9.6,0,,0,0.0,0,140.5
Jalen Guyton,LAC,3,3,87,1,3,74,24.7,13,4.3,24.7,0,,0,0.0,0,158.3
Donald Parham,LAC,2,2,13,0,1,9,4.5,4,2.0,4.5,0,,0,0.0,0,93.7
Austin Ekeler,LAC,4,2,17,0,1,6,3.0,11,5.5,10.5,0,,1,25.0,0,61.5
Jared Cook,LAC,5,2,8,1,2,8,4.0,0,0.0,5.2,0,,0,0.0,0,87.5
Joshua Kelley,LAC,1,1,5,0,0,5,5.0,0,0.0,5.0,0,,0,0.0,0,87.5
Justin Jackson,LAC,1,1,7,0,0,-9,-9.0,16,16.0,-9.0,0,,0,0.0,0,95.8
Stephen Anderson,LAC,1,1,11,0,1,1,1.0,10,10.0,1.0,0,,0,0.0,0,112.5
