Quarter,Time,Tm,Detail,TAM,WAS
1.0,11:47,Buccaneers,Mike Evans 40 yard pass from Jameis Winston (Connor Barth kick),7,0
,5:06,Buccaneers,Connor Barth 22 yard field goal,10,0
2.0,11:34,Buccaneers,Donteea Dye 7 yard pass from Jameis Winston (Connor Barth kick),17,0
,8:19,Buccaneers,Howard Jones 43 yard defensive fumble return (Connor Barth kick),24,0
,4:26,Redskins,Kirk Cousins 8 yard rush (Dustin Hopkins kick),24,7
3.0,11:10,Redskins,Ryan Grant 3 yard pass from Kirk Cousins (Dustin Hopkins kick),24,14
,6:56,Redskins,Jordan Reed 3 yard pass from Kirk Cousins (Dustin Hopkins kick),24,21
4.0,13:51,Buccaneers,Connor Barth 45 yard field goal,27,21
,7:29,Redskins,Dustin Hopkins 35 yard field goal,27,24
,2:24,Buccaneers,Connor Barth 21 yard field goal,30,24
,0:24,Redskins,Jordan Reed 6 yard pass from Kirk Cousins (Dustin Hopkins kick),30,31
