Quarter,Time,Tm,Detail,DAL,PHI
1.0,8:50,Eagles,David Akers 40 yard field goal,0,3
,0:35,Cowboys,Nick Folk 37 yard field goal,3,3
2.0,12:16,Eagles,Donovan McNabb 1 yard rush (David Akers kick),3,10
,2:03,Eagles,Correll Buckhalter 4 yard pass from Donovan McNabb (David Akers kick),3,17
,0:13,Eagles,Brent Celek 1 yard pass from Donovan McNabb (David Akers kick),3,24
,0:00,Eagles,David Akers 50 yard field goal,3,27
3.0,11:23,Eagles,Chris Clemons 73 yard defensive fumble return (David Akers kick),3,34
,8:11,Eagles,Joselio Hanson 96 yard defensive fumble return (David Akers kick),3,41
,6:04,Eagles,David Akers 41 yard field goal,3,44
4.0,7:43,Cowboys,Nick Folk 42 yard field goal,6,44
