Quarter,Time,Tm,Detail,NYJ,OAK
1.0,4:54,Raiders,Michael Crabtree 2 yard pass from Derek Carr (Giorgio Tavecchio kick),0,7
2.0,12:55,Raiders,Michael Crabtree 26 yard pass from Derek Carr (Giorgio Tavecchio kick),0,14
,9:08,Jets,Jermaine Kearse 34 yard pass from Josh McCown (Chandler Catanzaro kick),7,14
,3:06,Jets,Chandler Catanzaro 46 yard field goal,10,14
,0:21,Raiders,Marshawn Lynch 2 yard rush (Giorgio Tavecchio kick),10,21
3.0,7:10,Jets,Chandler Catanzaro 40 yard field goal,13,21
,3:31,Raiders,Cordarrelle Patterson 43 yard rush (Giorgio Tavecchio kick),13,28
4.0,12:49,Raiders,Jalen Richard 52 yard rush (Giorgio Tavecchio kick),13,35
,12:27,Raiders,Michael Crabtree 1 yard pass from Derek Carr (Giorgio Tavecchio kick),13,42
,8:42,Jets,Jermaine Kearse 11 yard pass from Josh McCown (Chandler Catanzaro kick),20,42
,0:25,Raiders,Giorgio Tavecchio 29 yard field goal,20,45
