Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Joe Mixon,CIN,13,56,0,2,15,1.2,41,3.2,1,13.0
Chris Evans,CIN,2,12,0,,7,3.5,5,2.5,0,
Trayveon Williams,CIN,2,7,0,,2,1.0,5,2.5,0,
Jake Browning,CIN,1,-1,0,,-1,-1.0,0,0.0,0,
Joe Burrow,CIN,1,-1,0,0,-1,-1.0,0,0.0,0,
Ja'Marr Chase,CIN,1,2,0,0,0,0.0,2,2.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Nick Chubb,CLE,18,106,0,7,69,3.8,37,2.1,1,18.0
Jerome Ford,CLE,15,36,0,1,18,1.2,18,1.2,0,
Deshaun Watson,CLE,5,45,1,3,30,6.0,15,3.0,1,5.0
Elijah Moore,CLE,2,19,0,1,13,6.5,6,3.0,0,
