Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Travis Etienne,JAX,13,54,0,2,45,3.5,9,0.7,0,
Trevor Lawrence,JAX,4,32,0,2,32,8.0,0,0.0,0,
Jamal Agnew,JAX,1,3,0,1,3,3.0,0,0.0,0,
Snoop Conner,JAX,1,6,0,,3,3.0,3,3.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
D'Andre Swift,DET,14,62,1,2,55,3.9,7,0.5,0,
Jamaal Williams,DET,11,35,1,5,30,2.7,5,0.5,0,
Nate Sudfeld,DET,2,-1,0,,-1,-0.5,0,0.0,0,
Jason Cabinda,DET,1,4,0,1,4,4.0,0,0.0,0,
Justin Jackson,DET,1,4,0,0,3,3.0,1,1.0,0,
Kalif Raymond,DET,1,-6,0,,-6,-6.0,0,0.0,0,
Amon-Ra St. Brown,DET,1,2,0,0,0,0.0,2,2.0,0,
