Quarter,Time,Tm,Detail,OAK,DEN
1.0,10:28,Broncos,Eric Decker 2 yard pass from Peyton Manning (Matt Prater kick),0,7
,0:47,Broncos,Matt Prater 53 yard field goal,0,10
2.0,7:27,Broncos,Wes Welker 12 yard pass from Peyton Manning (Matt Prater kick),0,17
,5:57,Raiders,Denarius Moore 73 yard pass from Terrelle Pryor (Sebastian Janikowski kick),7,17
,3:40,Broncos,Julius Thomas 13 yard pass from Peyton Manning (Matt Prater kick),7,24
,0:19,Broncos,Matt Prater 41 yard field goal,7,27
3.0,8:41,Broncos,Matt Prater 40 yard field goal,7,30
,0:17,Raiders,Marcel Reece 16 yard pass from Darren McFadden (Sebastian Janikowski kick),14,30
4.0,11:27,Broncos,Ronnie Hillman 1 yard rush (Matt Prater kick),14,37
,1:15,Raiders,Darren McFadden 1 yard rush (Sebastian Janikowski kick),21,37
