Quarter,Time,Tm,Detail,CAR,SDG
2.0,12:35,Panthers,John Kasay 44 yard field goal,3,0
,9:34,Chargers,Chris Chambers 44 yard pass from Philip Rivers (Nate Kaeding kick),3,7
,4:23,Panthers,John Kasay 33 yard field goal,6,7
,0:08,Panthers,John Kasay 30 yard field goal,9,7
3.0,5:10,Chargers,Nate Kaeding 27 yard field goal,9,10
,1:29,Panthers,Chris Gamble 31 yard defensive fumble return (John Kasay kick),16,10
4.0,10:09,Panthers,John Kasay 49 yard field goal,19,10
,6:45,Chargers,Antonio Gates 24 yard pass from Philip Rivers (Nate Kaeding kick),19,17
,2:27,Chargers,Vincent Jackson 5 yard pass from Philip Rivers (Nate Kaeding kick),19,24
,0:00,Panthers,Dante Rosario 14 yard pass from Jake Delhomme (John Kasay kick),26,24
