Quarter,Time,Tm,Detail,PHI,DAL
1,2:25,Cowboys,Brett Maher 28 yard field goal,0,3
2,0:00,Cowboys,Brett Maher 62 yard field goal,0,6
3,8:59,Cowboys,Brett Maher 21 yard field goal,0,9
,6:04,Eagles,Alshon Jeffery 2 yard pass from Carson Wentz (Jake Elliott kick failed),6,9
4,12:11,Eagles,Jake Elliott 26 yard field goal,9,9
,7:46,Cowboys,Amari Cooper 28 yard pass from Dak Prescott (Brett Maher kick),9,16
,3:12,Eagles,Dallas Goedert 3 yard pass from Carson Wentz (Jake Elliott kick),16,16
,3:01,Cowboys,Amari Cooper 75 yard pass from Dak Prescott (Brett Maher kick),16,23
,1:39,Eagles,Darren Sproles 6 yard pass from Carson Wentz (Jake Elliott kick),23,23
OT,2:00,Cowboys,Amari Cooper 15 yard pass from Dak Prescott,23,29
