Quarter,Time,Tm,Detail,CHI,CLE
1.0,7:26,Browns,Billy Cundiff 35 yard field goal,0,3
2.0,12:55,Bears,Robbie Gould 23 yard field goal,3,3
,8:01,Browns,Tashaun Gipson 44 yard interception return (Billy Cundiff kick),3,10
,0:24,Bears,Brandon Marshall 5 yard pass from Jay Cutler (Robbie Gould kick),10,10
3.0,13:48,Bears,Zackary Bowman 43 yard interception return (Robbie Gould kick),17,10
,8:20,Browns,Edwin Baker 2 yard rush (Billy Cundiff kick),17,17
,3:40,Browns,T.J. Ward 51 yard defensive fumble return (Billy Cundiff kick),17,24
4.0,10:59,Bears,Alshon Jeffery 45 yard pass from Jay Cutler (Robbie Gould kick),24,24
,5:41,Bears,Earl Bennett 4 yard pass from Jay Cutler (Robbie Gould kick),31,24
,2:17,Bears,Michael Bush 40 yard rush (Robbie Gould kick),38,24
,0:59,Browns,Josh Gordon 43 yard pass from Jason Campbell (Billy Cundiff kick),38,31
