Quarter,Time,Tm,Detail,ATL,SEA
1.0,10:19,Seahawks,Jason Myers 32 yard field goal,0,3
,7:10,Falcons,Marcus Mariota 1 yard rush (Younghoe Koo kick),7,3
,4:12,Seahawks,Will Dissly 18 yard pass from Geno Smith (Jason Myers kick),7,10
,0:07,Falcons,Younghoe Koo 41 yard field goal,10,10
2.0,8:12,Falcons,Cordarrelle Patterson 17 yard rush (Younghoe Koo kick),17,10
,3:58,Seahawks,D.K. Metcalf 18 yard pass from Geno Smith (Jason Myers kick),17,17
,0:05,Seahawks,Jason Myers 31 yard field goal,17,20
3.0,10:00,Falcons,Younghoe Koo 54 yard field goal,20,20
,3:11,Seahawks,Jason Myers 25 yard field goal,20,23
,0:35,Falcons,Drake London 14 yard pass from Marcus Mariota (Younghoe Koo kick),27,23
