Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
C.J. Mosley,NYJ,0,4,4,100.0%,29,7.3,7.3,0,96.9,3.3,13,16,4,0,0,0.0,0,14,1,6.7%
Bryce Hall,NYJ,0,6,3,50.0%,17,5.7,2.8,1,95.8,7.0,12,5,1,0,0,0.0,0,4,0,0.0%
Javelin Guidry,NYJ,0,3,3,100.0%,47,15.7,15.7,0,118.7,1.3,4,43,0,0,0,0.0,0,2,1,33.3%
Michael Carter,NYJ,0,3,2,66.7%,44,22.0,14.7,0,109.7,14.3,37,7,2,1,0,0.0,1,5,1,16.7%
Elijah Riley,NYJ,0,3,2,66.7%,49,24.5,16.3,0,109.7,16.7,44,5,1,0,0,0.0,0,6,2,25.0%
Quincy Williams,NYJ,0,1,1,100.0%,9,9.0,9.0,0,104.2,12.0,12,-3,2,0,0,0.0,0,11,0,0.0%
Del'Shawn Phillips,NYJ,0,1,1,100.0%,1,1.0,1.0,1,118.7,1.0,1,0,0,0,0,0.0,0,0,0,
Ronald Blair,NYJ,0,0,0,,,,,,,,,,1,3,1,0.0,4,2,0,0.0%
Nathan Shepherd,NYJ,0,0,0,,,,,,,,,,0,1,1,0.0,2,0,1,100.0%
Sheldon Rankins,NYJ,0,0,0,,,,,,,,,,0,1,0,1.0,2,3,1,25.0%
John Franklin-Myers,NYJ,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,
Jonathan Marshall,NYJ,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%
Brandin Echols,NYJ,1,3,0,0.0%,,,0.0,,0.0,16.7,,,1,0,0,0.0,0,4,4,50.0%
Sharrod Neasman,NYJ,0,0,0,,,,,,,,,,1,0,0,0.0,0,4,0,0.0%
Ashtyn Davis,NYJ,1,2,0,0.0%,,,0.0,,0.0,20.0,,,0,0,0,0.0,0,8,1,11.1%
Kyle Phillips,NYJ,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Andrew Van Ginkel,MIA,0,2,2,100.0%,40,20.0,20.0,0,118.7,0.0,0,40,1,3,0,1.0,4,5,1,16.7%
Justin Coleman,MIA,0,4,2,50.0%,8,4.0,2.0,0,56.2,2.5,3,5,3,2,0,0.0,2,2,2,50.0%
Byron Jones,MIA,0,5,2,40.0%,13,6.5,2.6,0,47.9,5.0,4,9,0,0,0,0.0,0,3,0,0.0%
Eric Rowe,MIA,0,2,2,100.0%,21,10.5,10.5,0,110.4,5.5,11,10,2,0,0,0.0,0,3,1,25.0%
Jerome Baker,MIA,0,2,1,50.0%,14,14.0,7.0,0,72.9,7.0,6,8,2,0,0,2.0,2,7,0,0.0%
Brandon Jones,MIA,0,2,1,50.0%,1,1.0,0.5,0,56.2,5.5,6,-5,2,0,0,1.0,1,6,1,14.3%
Duke Riley,MIA,0,1,1,100.0%,9,9.0,9.0,0,104.2,5.0,5,4,0,0,0,0.0,0,4,0,0.0%
Nik Needham,MIA,0,1,1,100.0%,23,23.0,23.0,0,118.7,6.0,6,17,2,0,0,0.0,0,5,0,0.0%
Christian Wilkins,MIA,0,1,1,100.0%,19,19.0,19.0,0,118.7,3.0,3,16,0,0,0,0.0,0,7,1,12.5%
Emmanuel Ogbah,MIA,0,0,0,,,,,,,,,,0,1,1,1.0,3,2,0,0.0%
Zach Sieler,MIA,0,0,0,,,,,,,,,,0,0,1,1.0,2,3,0,0.0%
Jaelan Phillips,MIA,0,0,0,,,,,,,,,,2,1,0,0.0,1,2,0,0.0%
Xavien Howard,MIA,0,2,0,0.0%,,,0.0,,39.6,13.0,,,2,0,1,0.0,1,3,0,0.0%
Elandon Roberts,MIA,0,0,0,,,,,,,,,,1,0,0,0.0,0,6,0,0.0%
Raekwon Davis,MIA,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,2,50.0%
