Quarter,Time,Tm,Detail,MIN,CHI
1.0,14:47,Vikings,Cordarrelle Patterson 105 yard kickoff return (Blair Walsh kick),7,0
,12:12,Bears,Martellus Bennett 1 yard pass from Jay Cutler (Robbie Gould kick),7,7
,1:04,Bears,Brandon Marshall 34 yard pass from Jay Cutler (Robbie Gould kick),7,14
2.0,7:34,Vikings,Brian Robison 61 yard defensive fumble return (Blair Walsh kick),14,14
,2:51,Bears,Tim Jennings 44 yard interception return (Robbie Gould kick),14,21
,1:11,Vikings,Kyle Rudolph 20 yard pass from Christian Ponder (Blair Walsh kick),21,21
,0:00,Bears,Robbie Gould 20 yard field goal,21,24
3.0,2:32,Vikings,Blair Walsh 28 yard field goal,24,24
4.0,8:05,Vikings,Blair Walsh 28 yard field goal,27,24
,3:15,Vikings,Blair Walsh 22 yard field goal,30,24
,0:10,Bears,Martellus Bennett 16 yard pass from Jay Cutler (Robbie Gould kick),30,31
