Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Tyreek Hill,KAN,13,12,148,1,8,101,8.4,47,3.9,7.3,0,,0,0.0,0,139.7
Travis Kelce,KAN,13,10,191,2,7,87,8.7,104,10.4,8.1,0,,0,0.0,0,157.9
Byron Pringle,KAN,4,3,22,0,3,10,3.3,12,4.0,2.8,0,,0,0.0,0,87.5
Michael Burton,KAN,2,2,20,0,1,-3,-1.5,23,11.5,-1.5,0,,0,0.0,0,108.3
Clyde Edwards-Helaire,KAN,4,2,18,0,1,0,0.0,18,9.0,-1.8,0,,0,0.0,1,22.9
Mecole Hardman,KAN,4,2,11,0,,7,3.5,4,2.0,10.8,0,,0,0.0,0,56.2
Blake Bell,KAN,1,0,0,0,0,0,,0,,0.0,0,,0,0.0,0,39.6
Darrel Williams,KAN,1,0,0,0,0,0,,0,,11.0,0,,0,0.0,0,39.6
Demarcus Robinson,KAN,3,0,0,0,,0,,0,,8.7,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Keenan Allen,LAC,10,6,78,1,5,66,11.0,12,2.0,13.4,0,,1,10.0,1,78.3
Austin Ekeler,LAC,4,4,23,0,0,-1,-0.3,24,6.0,-0.3,1,4.0,0,0.0,0,90.6
Mike Williams,LAC,9,3,49,0,2,39,13.0,10,3.3,11.6,0,,0,0.0,0,52.5
Jared Cook,LAC,7,3,32,0,2,17,5.7,15,5.0,6.1,0,,1,14.3,0,56.8
Jalen Guyton,LAC,2,2,10,1,1,10,5.0,0,0.0,5.0,0,,0,0.0,0,127.1
Tre' McKitty,LAC,1,1,4,0,,4,4.0,0,0.0,4.0,0,,0,0.0,0,83.3
Josh Palmer,LAC,1,1,15,0,1,13,13.0,2,2.0,13.0,0,,0,0.0,0,118.7
Justin Jackson,LAC,1,1,13,0,1,5,5.0,8,8.0,5.0,0,,0,0.0,0,118.7
Stephen Anderson,LAC,1,1,12,0,1,12,12.0,0,0.0,12.0,0,,0,0.0,0,116.7
Donald Parham,LAC,1,0,0,0,,0,,0,,5.0,0,,1,100.0,0,39.6
