Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Nick Bolton,KAN,0,7,6,85.7%,48,8.0,6.9,0,95.2,3.0,18,30,4,1,1,0.0,2,14,0,0.0%
Mike Hughes,KAN,0,10,5,50.0%,51,10.2,5.1,1,98.3,9.2,49,2,0,0,0,0.0,0,5,0,0.0%
Anthony Hitchens,KAN,1,3,3,100.0%,18,6.0,6.0,0,52.1,3.7,11,7,4,0,1,0.0,1,8,0,0.0%
Deandre Baker,KAN,0,3,3,100.0%,52,17.3,17.3,0,118.7,12.0,36,16,0,0,0,0.0,0,2,1,33.3%
Rashad Fenton,KAN,0,3,2,66.7%,21,10.5,7.0,0,86.8,6.3,19,2,1,0,0,0.0,0,3,0,0.0%
Juan Thornhill,KAN,0,1,1,100.0%,15,15.0,15.0,0,118.7,5.0,5,10,1,0,1,0.0,1,4,0,0.0%
Tyrann Mathieu,KAN,0,4,1,25.0%,4,4.0,1.0,1,79.2,4.8,4,0,3,1,0,0.0,1,2,0,0.0%
Charvarius Ward,KAN,0,4,1,25.0%,27,27.0,6.8,0,55.2,25.8,23,4,0,0,0,0.0,0,10,0,0.0%
Melvin Ingram,KAN,0,0,0,,,,,,,,,,0,3,0,0.0,3,3,0,0.0%
Jarran Reed,KAN,0,0,0,,,,,,,,,,0,1,0,0.0,1,3,0,0.0%
Tershawn Wharton,KAN,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%
Daniel Sorensen,KAN,0,1,0,0.0%,,,0.0,,39.6,20.0,,,4,0,0,0.0,0,2,1,33.3%
Derrick Nnadi,KAN,0,0,0,,,,,,,,,,0,0,0,0.0,0,2,1,33.3%
Ben Niemann,KAN,0,1,0,0.0%,,,0.0,,39.6,3.0,,,1,0,0,0.0,0,9,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Tevaughn Campbell,LAC,0,7,6,85.7%,76,12.7,10.9,1,151.5,13.0,55,21,0,0,0,0.0,0,6,1,14.3%
Chris Harris Jr.,LAC,0,7,5,71.4%,58,11.6,8.3,0,96.1,6.1,49,9,2,1,0,0.0,1,5,2,28.6%
Kyzir White,LAC,0,6,4,66.7%,34,8.5,5.7,0,81.2,0.8,7,27,4,0,1,0.0,1,9,0,0.0%
Drue Tranquill,LAC,0,5,4,80.0%,91,22.8,18.2,1,158.3,6.6,22,69,3,0,0,0.0,0,3,1,25.0%
Trey Marshall,LAC,0,3,3,100.0%,81,27.0,27.0,0,118.7,9.3,28,53,0,0,0,0.0,0,7,2,22.2%
Michael Davis,LAC,0,8,3,37.5%,18,6.0,2.3,0,45.8,5.3,7,11,0,0,0,0.0,0,4,0,0.0%
Nasir Adderley,LAC,0,4,2,50.0%,27,13.5,6.8,1,111.5,6.5,24,3,0,0,0,0.0,0,3,1,25.0%
Joey Bosa,LAC,0,1,1,100.0%,0,0.0,0.0,0,79.2,0.0,0,0,0,5,0,1.0,6,5,2,28.6%
Uchenna Nwosu,LAC,1,1,1,100.0%,12,12.0,12.0,0,77.1,0.0,0,12,6,1,1,0.0,2,1,0,0.0%
Justin Jones,LAC,0,1,1,100.0%,-1,-1.0,-1.0,0,79.2,-1.0,-1,0,0,0,0,0.0,0,3,0,0.0%
Davontae Harris,LAC,0,2,1,50.0%,14,14.0,7.0,0,72.9,7.0,11,3,0,0,0,0.0,0,2,0,0.0%
Jerry Tillery,LAC,0,0,0,,,,,,,,,,0,1,2,0.0,3,3,0,0.0%
Kenneth Murray,LAC,0,0,0,,,,,,,,,,3,0,0,0.0,0,0,0,
Chris Rumph,LAC,0,0,0,,,,,,,,,,1,0,0,0.0,0,3,0,0.0%
Derwin James,LAC,0,0,0,,,,,,,,,,0,0,0,0.0,0,3,1,25.0%
