Quarter,Time,Tm,Detail,MIN,NYJ
1.0,4:55,Jets,Nick Folk 25 yard field goal,0,3
2.0,5:29,Jets,Nick Folk 53 yard field goal,0,6
,0:17,Jets,Nick Folk 22 yard field goal,0,9
3.0,8:49,Jets,Nick Folk 34 yard field goal,0,12
,2:10,Vikings,Randy Moss 37 yard pass from Brett Favre (Ryan Longwell kick),7,12
,0:49,Jets,Nick Folk 31 yard field goal,7,15
4.0,12:47,Vikings,Percy Harvin 34 yard pass from Brett Favre (pass failed),13,15
,4:30,Jets,Shonn Greene 23 yard rush (Nick Folk kick),13,22
,3:09,Vikings,Percy Harvin 11 yard pass from Brett Favre (Ryan Longwell kick),20,22
,1:30,Jets,Dwight Lowery 26 yard interception return (Nick Folk kick),20,29
