Quarter,Time,Tm,Detail,SEA,LAR
1.0,9:30,Rams,Cam Akers 1 yard rush (Matt Gay kick),0,7
,6:05,Seahawks,Tyler Lockett 36 yard pass from Geno Smith (Jason Myers kick),7,7
,2:34,Rams,Matt Gay 40 yard field goal,7,10
2.0,9:48,Seahawks,Noah Fant 4 yard pass from Geno Smith (Jason Myers kick),14,10
,0:55,Rams,Matt Gay 54 yard field goal,14,13
3.0,7:33,Seahawks,Jason Myers 41 yard field goal,17,13
4.0,12:57,Rams,Matt Gay 32 yard field goal,17,16
,6:46,Seahawks,Jason Myers 26 yard field goal,20,16
,2:56,Rams,Cam Akers 6 yard rush (Matt Gay kick),20,23
,0:36,Seahawks,D.K. Metcalf 8 yard pass from Geno Smith (Jason Myers kick),27,23
