Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
DeeJay Dallas,SEA,10,37,0,1,19,1.9,18,1.8,0,
Tony Jones,SEA,7,14,0,3,5,0.7,9,1.3,1,7.0
Kenneth Walker III,SEA,3,36,0,1,30,10.0,6,2.0,0,
Geno Smith,SEA,2,3,0,0,3,1.5,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Cam Akers,LAR,17,60,2,4,30,1.8,30,1.8,0,
John Wolford,LAR,5,29,0,1,26,5.2,3,0.6,0,
Tutu Atwell,LAR,4,23,0,1,19,4.8,4,1.0,0,
Brandon Powell,LAR,3,45,0,3,22,7.3,23,7.7,0,
Kyren Williams,LAR,3,9,0,1,2,0.7,7,2.3,0,
Bryce Perkins,LAR,1,5,0,1,3,3.0,2,2.0,0,
