Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Cole Kmet,CHI,11,8,65,0,4,40,5.0,25,3.1,5.0,1,8.0,0,0.0,0,87.3
Darnell Mooney,CHI,8,5,123,0,5,91,18.2,32,6.4,14.5,0,,1,12.5,0,106.2
Damiere Byrd,CHI,5,4,42,0,3,38,9.5,4,1.0,12.2,0,,0,0.0,1,62.1
David Montgomery,CHI,3,3,28,0,2,-5,-1.7,33,11.0,-1.7,0,,0,0.0,0,105.6
Jimmy Graham,CHI,3,2,34,1,2,32,16.0,2,1.0,14.0,0,,0,0.0,0,144.4
Jakeem Grant,CHI,4,2,25,0,2,-8,-4.0,33,16.5,3.3,2,1.0,0,0.0,0,69.8
Isaiah Coulter,CHI,1,0,0,0,,0,,0,,22.0,0,,0,0.0,0,39.6
Marquise Goodwin,CHI,1,0,0,0,,0,,0,,23.0,0,,0,0.0,0,39.6
Jesse James,CHI,1,0,0,0,,0,,0,,10.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Jamaal Williams,DET,5,5,18,0,0,2,0.4,16,3.2,0.4,0,,0,0.0,0,81.7
Amon-Ra St. Brown,DET,4,4,23,0,1,3,0.8,20,5.0,0.8,0,,0,0.0,0,90.6
T.J. Hockenson,DET,3,3,35,1,2,31,10.3,4,1.3,10.3,0,,0,0.0,0,154.9
Kalif Raymond,DET,4,3,16,0,1,2,0.7,14,4.7,1.8,1,3.0,0,0.0,0,81.2
Josh Reynolds,DET,5,3,70,1,3,56,18.7,14,4.7,23.6,1,3.0,0,0.0,0,143.7
D'Andre Swift,DET,3,3,9,0,1,-3,-1.0,12,4.0,-1.0,1,3.0,0,0.0,0,79.2
Godwin Igwebuike,DET,1,0,0,0,0,0,,0,,4.0,0,,1,100.0,0,39.6
