Quarter,Time,Tm,Detail,ARI,BAL
1.0,3:56,Cardinals,Jay Feely 32 yard field goal,3,0
2.0,12:26,Ravens,Billy Cundiff 26 yard field goal,3,3
,8:22,Cardinals,Beanie Wells 1 yard rush (Jay Feely kick),10,3
,6:06,Cardinals,Patrick Peterson 82 yard punt return (Jay Feely kick),17,3
,3:46,Cardinals,Early Doucet 10 yard pass from Kevin Kolb (Jay Feely kick),24,3
,0:34,Ravens,Billy Cundiff 47 yard field goal,24,6
3.0,12:13,Ravens,Ray Rice 1 yard rush (Billy Cundiff kick),24,13
,1:32,Ravens,Ray Rice 1 yard rush (Billy Cundiff kick),24,20
4.0,14:55,Ravens,Ray Rice 3 yard rush (Billy Cundiff kick),24,27
,8:55,Cardinals,Jay Feely 45 yard field goal,27,27
,0:00,Ravens,Billy Cundiff 25 yard field goal,27,30
