Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Keenan Allen,LAC,10,7,85,0,4,60,8.6,25,3.6,7.5,0,,0,0.0,0,95.8
Austin Ekeler,LAC,8,6,68,1,3,16,2.7,52,8.7,3.5,0,,2,25.0,1,100.0
Mike Williams,LAC,8,4,39,0,3,29,7.3,10,2.5,10.0,0,,1,12.5,0,64.1
Joshua Kelley,LAC,3,2,15,0,,-7,-3.5,22,11.0,-0.3,0,,0,0.0,0,78.5
Josh Palmer,LAC,2,2,25,0,1,12,6.0,13,6.5,6.0,0,,0,0.0,0,118.7
Jalen Guyton,LAC,3,2,23,0,1,7,3.5,16,8.0,7.7,0,,0,0.0,0,89.6
Jared Cook,LAC,5,2,25,1,1,21,10.5,4,2.0,10.4,0,,0,0.0,1,56.2
Stephen Anderson,LAC,2,2,18,0,1,11,5.5,7,3.5,5.5,0,,0,0.0,0,104.2
Donald Parham,LAC,1,1,5,0,1,1,1.0,4,4.0,1.0,0,,0,0.0,0,87.5
Tre' McKitty,LAC,1,0,0,0,,0,,0,,5.0,0,,0,0.0,0,39.6
Darius Bradwell,LAC,1,0,0,0,,0,,0,,1.0,0,,1,100.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Noah Fant,DEN,4,3,12,0,,9,3.0,3,1.0,8.3,0,,0,0.0,0,77.1
Javonte Williams,DEN,4,3,57,0,2,-7,-2.3,64,21.3,-0.8,0,,0,0.0,0,116.7
Jerry Jeudy,DEN,3,2,25,0,2,16,8.0,9,4.5,5.3,0,,0,0.0,0,92.4
Tim Patrick,DEN,3,2,26,0,1,20,10.0,6,3.0,9.7,0,,0,0.0,0,93.7
Courtland Sutton,DEN,3,2,17,0,2,16,8.0,1,0.5,7.0,0,,0,0.0,0,81.2
Melvin Gordon,DEN,2,1,5,0,0,-1,-1.0,6,6.0,-0.5,0,,0,0.0,0,56.2
Albert Okwuegbunam,DEN,2,1,12,0,1,1,1.0,11,11.0,10.5,0,,0,0.0,0,68.7
Eric Saubert,DEN,1,1,1,1,1,1,1.0,0,0.0,1.0,0,,0,0.0,0,118.7
Kendall Hinton,DEN,1,0,0,0,,0,,0,,0.0,0,,0,0.0,1,0.0
