Quarter,Time,Tm,Detail,GNB,CHI
1.0,2:07,Bears,Matt Forte 4 yard pass from Jay Cutler (Robbie Gould kick),0,7
2.0,7:59,Packers,Mason Crosby 33 yard field goal,3,7
,3:28,Packers,Jarrett Boykin 15 yard offensive fumble return (Mason Crosby kick),10,7
,0:02,Packers,Mason Crosby 27 yard field goal,13,7
3.0,10:46,Bears,Matt Forte 5 yard rush (Robbie Gould kick),13,14
,7:27,Packers,Randall Cobb 7 yard pass from Aaron Rodgers (Mason Crosby kick),20,14
,5:04,Bears,Matt Forte 1 yard rush (Robbie Gould kick),20,21
4.0,14:55,Bears,Brandon Marshall 5 yard pass from Jay Cutler (Robbie Gould kick),20,28
,11:38,Packers,Eddie Lacy 6 yard rush (Mason Crosby kick),27,28
,0:38,Packers,Randall Cobb 48 yard pass from Aaron Rodgers (pass failed),33,28
