Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
DeShone Kizer,CLE,22,47,242,2,3,1,7,38,50.1,7,44,1,,0,0,0,0,,1,0
Isaiah Crowell,CLE,0,0,0,0,0,0,0,0,,12,44,0,10,3,2,10,0,8,0,0
Duke Johnson,CLE,0,0,0,0,0,0,0,0,,2,23,1,19,7,6,81,0,25,0,0
Kenny Britt,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,10,3,54,1,38,0,0
Seth Devalve,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,29,0,20,0,0
Jordan Leslie,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,26,0,26,0,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,12,1,11,0,0
Kasen Williams,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,0,10,0,0
Ricardo Louis,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,10,0,10,0,0
Rashard Higgins,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,10,0,9,0,0
Randall Telfer,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Kevin Zeitler,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-4,0,-4,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jacoby Brissett,IND,17,24,259,1,0,3,16,61,120.0,5,14,2,,0,0,0,0,,0,0
Frank Gore,IND,0,0,0,0,0,0,0,0,,25,57,1,21,1,1,0,0,0,0,0
Robert Turbin,IND,0,0,0,0,0,0,0,0,,5,18,0,7,2,1,2,0,2,0,0
Matt Jones,IND,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
T.Y. Hilton,IND,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,153,1,61,0,0
Donte Moncrief,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,44,0,34,0,0
Quan Bray,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,22,0,22,0,0
Jack Doyle,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,16,0,11,1,1
Kamar Aiken,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Brandon Williams,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Darrell Daniels,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
