Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Myles Bryant,NWE,0,6,4,66.7%,27,6.8,4.5,0,76.4,3.3,10,17,0,0,0,0.0,0,5,0,0.0%
Dont'a Hightower,NWE,0,4,3,75.0%,46,15.3,11.5,0,112.5,3.0,12,34,1,2,0,0.0,2,2,0,0.0%
Adrian Phillips,NWE,0,4,3,75.0%,30,10.0,7.5,0,95.8,2.8,11,19,2,1,0,0.0,1,6,0,0.0%
Jalen Mills,NWE,0,4,2,50.0%,19,9.5,4.8,0,63.5,8.5,15,4,0,0,0,0.0,0,2,1,33.3%
J.C. Jackson,NWE,2,3,1,33.3%,2,2.0,0.7,0,2.8,8.0,2,0,0,0,0,0.0,0,2,0,0.0%
Joejuan Williams,NWE,0,1,1,100.0%,13,13.0,13.0,0,118.7,11.0,11,2,0,0,0,0.0,0,3,0,0.0%
Kyle Van Noy,NWE,0,4,1,25.0%,12,12.0,3.0,0,39.6,2.5,4,8,1,0,0,0.0,0,3,0,0.0%
Jahlani Tavai,NWE,0,1,1,100.0%,33,33.0,33.0,0,118.7,4.0,4,29,0,0,0,0.0,0,1,0,0.0%
Jamie Collins,NWE,1,1,1,100.0%,-3,-3.0,-3.0,0,39.6,-4.0,-4,1,0,0,0,0.0,0,2,0,0.0%
Kyle Dugger,NWE,0,2,1,50.0%,5,5.0,2.5,0,56.2,15.0,1,4,0,0,0,0.0,0,2,0,0.0%
Matt Judon,NWE,0,0,0,,,,,,,,,,1,5,0,1.0,6,4,1,20.0%
Christian Barmore,NWE,0,0,0,,,,,,,,,,0,2,0,0.0,2,1,0,0.0%
Lawrence Guy,NWE,0,0,0,,,,,,,,,,0,2,0,0.0,2,4,0,0.0%
Deatrich Wise Jr.,NWE,0,0,0,,,,,,,,,,0,1,1,0.0,2,3,0,0.0%
Carl Davis,NWE,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%
Josh Uche,NWE,0,0,0,,,,,,,,,,2,0,1,0.0,1,0,0,
Devin McCourty,NWE,0,2,0,0.0%,,,0.0,,39.6,19.5,,,0,0,0,0.0,0,2,0,0.0%
Ja'Whaun Bentley,NWE,0,0,0,,,,,,,,,,1,0,0,0.0,0,4,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Keith Taylor,CAR,0,3,3,100.0%,34,11.3,11.3,0,113.9,6.0,18,16,0,0,0,0.0,0,2,0,0.0%
Shaq Thompson,CAR,0,3,3,100.0%,35,11.7,11.7,0,115.3,9.0,27,8,1,0,0,0.0,0,10,3,23.1%
Brian Burns,CAR,0,2,2,100.0%,6,3.0,3.0,0,79.2,-3.0,-6,12,0,0,0,1.5,2,6,0,0.0%
Jeremy Chinn,CAR,0,4,2,50.0%,2,1.0,0.5,0,56.2,4.3,-6,8,1,0,0,0.0,0,11,1,8.3%
Sean Chandler,CAR,0,2,2,100.0%,16,8.0,8.0,1,139.6,6.0,12,4,0,0,0,0.0,0,4,0,0.0%
A.J. Bouye,CAR,0,2,2,100.0%,16,8.0,8.0,0,100.0,2.0,4,12,0,0,0,0.0,0,1,0,0.0%
Morgan Fox,CAR,0,1,1,100.0%,41,41.0,41.0,0,118.7,-2.0,-2,43,0,0,0,0.0,0,1,0,0.0%
Haason Reddick,CAR,0,0,0,,,,,,,,,,2,1,0,0.5,2,3,0,0.0%
DaQuan Jones,CAR,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%
Donte Jackson,CAR,0,0,0,,,,,,,,,,0,0,0,0.0,0,3,1,25.0%
Frankie Luvu,CAR,0,0,0,,,,,,,,,,2,0,0,0.0,0,2,0,0.0%
Myles Hartsfield,CAR,0,1,0,0.0%,,,0.0,,39.6,5.0,,,0,0,0,0.0,0,3,1,25.0%
Rashaan Melvin,CAR,0,3,0,0.0%,,,0.0,,39.6,14.0,,,0,0,0,0.0,0,3,1,25.0%
Stephon Gilmore,CAR,1,1,0,0.0%,,,0.0,,0.0,6.0,,,0,0,0,0.0,0,2,0,0.0%
Jermaine Carter Jr.,CAR,0,1,0,0.0%,,,0.0,,39.6,15.0,,,0,0,0,0.0,0,6,0,0.0%
