Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
James Cook,BUF,15,98,0,4,79,5.3,19,1.3,1,15.0
Damien Harris,BUF,5,15,0,1,7,1.4,8,1.6,0,
Latavius Murray,BUF,5,15,1,2,13,2.6,2,0.4,0,
Josh Allen,BUF,3,46,1,3,34,11.3,12,4.0,1,3.0
Kyle Allen,BUF,2,-2,0,,-2,-1.0,0,0.0,0,
Deonte Harty,BUF,2,-2,0,,-2,-1.0,0,0.0,1,2.0
Gabriel Davis,BUF,1,-2,0,0,-2,-2.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Brian Robinson Jr.,WAS,10,70,0,3,26,2.6,44,4.4,2,5.0
Antonio Gibson,WAS,2,17,0,1,15,7.5,2,1.0,0,
Sam Howell,WAS,1,18,0,1,0,0.0,18,18.0,2,0.5
