Quarter,Time,Tm,Detail,BAL,DEN
1,12:14,Broncos,Trindon Holliday 90 yard punt return (Matt Prater kick),0,7
,10:31,Ravens,Torrey Smith 59 yard pass from Joe Flacco (Justin Tucker kick),7,7
,9:49,Ravens,Corey Graham 39 yard interception return (Justin Tucker kick),14,7
,4:02,Broncos,Brandon Stokley 15 yard pass from Peyton Manning (Matt Prater kick),14,14
2,7:26,Broncos,Knowshon Moreno 14 yard pass from Peyton Manning (Matt Prater kick),14,21
,0:36,Ravens,Torrey Smith 32 yard pass from Joe Flacco (Justin Tucker kick),21,21
3,14:47,Broncos,Trindon Holliday 104 yard kickoff return (Matt Prater kick),21,28
,0:20,Ravens,Ray Rice 1 yard rush (Justin Tucker kick),28,28
4,7:11,Broncos,Demaryius Thomas 17 yard pass from Peyton Manning (Matt Prater kick),28,35
,0:31,Ravens,Jacoby Jones 70 yard pass from Joe Flacco (Justin Tucker kick),35,35
OT2,13:18,Ravens,Justin Tucker 47 yard field goal,38,35
