Quarter,Time,Tm,Detail,SDG,IND
1,4:48,Chargers,LaDainian Tomlinson 74 yard pass from Drew Brees (Nate Kaeding kick),7,0
2,14:18,Colts,Mike Vanderjagt 36 yard field goal,7,3
,12:46,Chargers,Nate Kaeding 50 yard field goal,10,3
,7:09,Chargers,Eric Parker 19 yard pass from Drew Brees (Nate Kaeding kick),17,3
,4:30,Colts,Mike Vanderjagt 26 yard field goal,17,6
,0:18,Colts,Mike Vanderjagt 23 yard field goal,17,9
3,9:24,Chargers,Antonio Gates 4 yard pass from Drew Brees (Nate Kaeding kick),24,9
,6:11,Colts,James Mungro 3 yard pass from Peyton Manning (Mike Vanderjagt kick),24,16
4,14:55,Chargers,LaDainian Tomlinson 16 yard rush (Nate Kaeding kick),31,16
,14:42,Colts,Dominic Rhodes 88 yard kickoff return (Mike Vanderjagt kick),31,23
,0:56,Colts,Brandon Stokley 21 yard pass from Peyton Manning (Edgerrin James run),31,31
OT,12:13,Colts,Mike Vanderjagt 30 yard field goal,31,34
