Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Brandon Aiyuk,SFO,8,7,114,1,5,97,13.9,17,2.4,12.6,0,,0,0.0,0,158.3
Deebo Samuel,SFO,6,5,37,1,2,3,0.6,34,6.8,1.8,1,5.0,0,0.0,0,131.9
Christian McCaffrey,SFO,5,4,27,0,3,5,1.3,22,5.5,1.8,1,4.0,0,0.0,0,89.2
Kyle Juszczyk,SFO,3,3,23,0,3,13,4.3,10,3.3,4.3,0,,0,0.0,0,98.6
George Kittle,SFO,4,3,29,0,1,24,8.0,5,1.7,9.5,0,,0,0.0,0,94.8
Ronnie Bell,SFO,1,0,0,0,,0,,0,,12.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Terry McLaurin,WAS,7,4,61,1,3,35,8.8,26,6.5,13.7,0,,0,0.0,1,86.0
Brian Robinson Jr.,WAS,4,4,32,0,1,-1,-0.3,33,8.3,-0.3,0,,0,0.0,0,100.0
Curtis Samuel,WAS,4,3,33,0,1,28,9.3,5,1.7,9.0,0,,0,0.0,0,99.0
Logan Thomas,WAS,4,3,20,0,,14,4.7,6,2.0,5.8,0,,0,0.0,0,85.4
Antonio Gibson,WAS,4,2,17,0,1,-12,-6.0,29,14.5,-5.8,1,2.0,1,25.0,0,61.5
John Bates,WAS,1,1,6,0,,2,2.0,4,4.0,2.0,0,,0,0.0,0,91.7
Jahan Dotson,WAS,1,0,0,0,,0,,0,,3.0,0,,0,0.0,0,39.6
Byron Pringle,WAS,1,0,0,0,,0,,0,,10.0,0,,0,0.0,1,0.0
