Quarter,Time,Tm,Detail,NYJ,MIA
1.0,7:33,Dolphins,Olindo Mare 23 yard field goal,0,3
2.0,14:45,Dolphins,Olindo Mare 43 yard field goal,0,6
,9:54,Dolphins,Ricky Williams 16 yard rush (Olindo Mare kick),0,13
,6:08,Jets,Curtis Martin 8 yard rush (Doug Brien kick),7,13
,2:55,Dolphins,Chris Chambers 20 yard pass from Jay Fiedler (Olindo Mare kick),7,20
,0:14,Jets,Doug Brien 36 yard field goal,10,20
3.0,8:21,Jets,Doug Brien 22 yard field goal,13,20
,0:22,Jets,"Safety,",15,20
4.0,8:58,Jets,Anthony Becht 1 yard pass from Chad Pennington (pass failed),21,20
,0:03,Dolphins,Olindo Mare 22 yard field goal,21,23
