Quarter,Time,Tm,Detail,MIA,NWE
1,3:17,Dolphins,Ricky Williams 8 yard rush (Olindo Mare kick),7,0
2,8:52,Dolphins,Ricky Williams 14 yard rush (Olindo Mare kick),14,0
,2:25,Patriots,Antowain Smith 11 yard rush (Adam Vinatieri kick),14,7
,1:06,Dolphins,James McKnight 32 yard pass from Jay Fiedler (Olindo Mare kick),21,7
,0:00,Patriots,Adam Vinatieri 41 yard field goal,21,10
3,3:37,Patriots,Adam Vinatieri 36 yard field goal,21,13
4,4:59,Dolphins,Olindo Mare 28 yard field goal,24,13
,2:46,Patriots,Troy Brown 3 yard pass from Tom Brady (Christian Fauria pass from Tom Brady),24,21
,1:09,Patriots,Adam Vinatieri 43 yard field goal,24,24
OT,12:57,Patriots,Adam Vinatieri 35 yard field goal,24,27
