Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Malik Reed,PIT,0,0,0,0,1,1.0,4,2,2,1,1,0,0,0,0
Cameron Heyward,PIT,0,0,0,0,0,1.0,2,2,0,1,2,0,0,0,0
Carlos Davis,PIT,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Minkah Fitzpatrick,PIT,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
Ahkello Witherspoon,PIT,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
Terrell Edmunds,PIT,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Alex Highsmith,PIT,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0
Myles Jack,PIT,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Robert Spillane,PIT,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Cameron Sutton,PIT,0,0,0,0,2,0.0,4,4,0,0,0,0,0,0,0
Isaiahh Loudermilk,PIT,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Marcus Allen,PIT,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Devin Bush Jr.,PIT,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Connor Heyward,PIT,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Arthur Maulet,PIT,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
James Pierre,PIT,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Miles Boykin,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Gunner Olszewski,PIT,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kenny Pickett,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jaylen Warren,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
C.J. Gardner-Johnson,PHI,1,14,0,14,1,1.0,8,7,1,1,1,0,0,0,0
Javon Hargrave,PHI,0,0,0,0,0,2.0,8,6,2,1,2,0,0,0,1
Haason Reddick,PHI,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Marlon Tuipulotu,PHI,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
Milton Williams,PHI,0,0,0,0,1,1.0,1,1,0,1,1,0,0,0,0
T.J. Edwards,PHI,0,0,0,0,2,0.0,12,8,4,0,1,0,0,0,0
Kyzir White,PHI,0,0,0,0,0,0.0,11,5,6,0,0,0,0,0,0
Marcus Epps,PHI,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
Avonte Maddox,PHI,0,0,0,0,1,0.0,6,6,0,1,0,1,10,0,1
James Bradberry,PHI,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
Fletcher Cox,PHI,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
Jordan Davis,PHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Zech McPhearson,PHI,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Darius Slay,PHI,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
Shaun Bradley,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Nakobe Dean,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kyron Johnson,PHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Zach Pascal,PHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Josh Sweat,PHI,0,0,0,0,0,0.0,1,1,0,0,3,0,0,0,0
Robert Quinn,PHI,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
