Quarter,Time,Tm,Detail,IND,CIN
1.0,8:56,Colts,Dominic Rhodes 4 yard rush (Mike Vanderjagt kick),7,0
,4:47,Bengals,Shayne Graham 43 yard field goal,7,3
,4:30,Colts,Reggie Wayne 66 yard pass from Peyton Manning (Mike Vanderjagt kick),14,3
,3:23,Bengals,Chad Johnson 68 yard pass from Carson Palmer (Shayne Graham kick),14,10
2.0,14:12,Colts,Bryan Fletcher 9 yard pass from Peyton Manning (Mike Vanderjagt kick),21,10
,9:13,Bengals,Rudi Johnson 1 yard rush (Shayne Graham kick),21,17
,7:11,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),28,17
,3:41,Colts,Dallas Clark 21 yard pass from Peyton Manning (Mike Vanderjagt kick),35,17
,1:29,Bengals,Shayne Graham 41 yard field goal,35,20
,0:12,Bengals,Rudi Johnson 1 yard rush (Shayne Graham kick),35,27
3.0,12:52,Bengals,Chris Henry 15 yard pass from Carson Palmer (Shayne Graham kick),35,34
,4:29,Colts,Edgerrin James 2 yard rush (Mike Vanderjagt kick),42,34
4.0,6:16,Colts,Mike Vanderjagt 19 yard field goal,45,34
,1:23,Bengals,Shayne Graham 44 yard field goal,45,37
