Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Juan Thornhill,KAN,1,7,6,85.7%,112,18.7,16.0,0,79.2,17.0,79,33,1,0,0,0.0,0,11,0,0.0%
Willie Gay Jr.,KAN,0,6,5,83.3%,48,9.6,8.0,0,100.0,4.5,22,26,3,0,0,0.5,1,8,0,0.0%
L'Jarius Sneed,KAN,0,7,5,71.4%,35,7.0,5.0,0,82.4,2.4,6,29,1,0,0,0.5,1,6,0,0.0%
Jaylen Watson,KAN,0,6,5,83.3%,69,13.8,11.5,1,154.2,9.8,54,15,1,0,0,0.0,0,6,0,0.0%
Justin Reid,KAN,0,6,4,66.7%,82,20.5,13.7,0,109.7,8.0,48,34,2,0,0,0.0,0,7,2,22.2%
Nick Bolton,KAN,0,4,2,50.0%,26,13.0,6.5,0,70.8,11.5,19,7,1,0,1,0.0,1,10,0,0.0%
Joshua Williams,KAN,1,6,2,33.3%,23,11.5,3.8,1,45.8,5.5,23,0,0,0,0,0.0,0,1,0,0.0%
Chris Lammons,KAN,0,4,2,50.0%,30,15.0,7.5,0,75.0,7.8,13,17,0,0,0,0.0,0,2,0,0.0%
Frank Clark,KAN,0,2,1,50.0%,13,13.0,6.5,0,70.8,2.0,-4,17,3,0,0,1.5,2,2,0,0.0%
Khalen Saunders,KAN,0,1,1,100.0%,11,11.0,11.0,0,112.5,3.0,3,8,0,0,0,0.5,1,3,0,0.0%
George Karlaftis III,KAN,0,1,1,100.0%,11,11.0,11.0,0,112.5,0.0,0,11,0,1,0,0.0,1,2,0,0.0%
Malik Herring,KAN,0,1,1,100.0%,4,4.0,4.0,0,83.3,2.0,2,2,0,0,0,0.0,0,1,1,50.0%
Chris Jones,KAN,0,0,0,,,,,,,,,,0,0,0,2.0,2,3,0,0.0%
Taylor Stallworth,KAN,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
James Winchester,KAN,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
Dicaprio Bootle,KAN,0,2,0,0.0%,,,0.0,,39.6,11.5,,,0,0,0,0.0,0,1,0,0.0%
Darius Harris,KAN,0,1,0,0.0%,,,0.0,,39.6,6.0,,,1,0,0,0.0,0,0,0,
Leo Chenal,KAN,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,1,50.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Charvarius Ward,SFO,0,9,7,77.8%,122,17.4,13.6,0,118.7,10.2,91,31,0,0,0,0.0,0,10,0,0.0%
Jimmie Ward,SFO,0,5,4,80.0%,33,8.3,6.6,1,133.7,3.6,28,5,1,0,0,0.0,0,2,1,33.3%
Tashaun Gipson,SFO,0,6,4,66.7%,118,29.5,19.7,1,149.3,16.8,87,31,0,0,0,0.0,0,5,0,0.0%
Fred Warner,SFO,0,4,3,75.0%,33,11.0,8.3,0,99.0,1.0,1,32,4,1,0,0.0,1,6,0,0.0%
Deommodore Lenoir,SFO,0,5,3,60.0%,48,16.0,9.6,0,92.1,4.6,0,48,0,0,0,0.0,0,4,1,20.0%
Demetrius Flannigan-Fowles,SFO,0,2,2,100.0%,38,19.0,19.0,0,118.7,11.0,22,16,1,0,0,0.0,0,2,0,0.0%
Dre Greenlaw,SFO,0,3,2,66.7%,31,15.5,10.3,0,100.7,4.7,11,20,4,0,0,0.0,0,3,1,25.0%
Samson Ebukam,SFO,0,1,1,100.0%,8,8.0,8.0,1,139.6,-4.0,-4,12,1,1,0,0.0,1,3,0,0.0%
Ambry Thomas,SFO,0,1,1,100.0%,19,19.0,19.0,0,118.7,16.0,16,3,0,0,0,0.0,0,1,0,0.0%
Tarvarius Moore,SFO,0,1,1,100.0%,17,17.0,17.0,0,118.7,15.0,15,2,0,0,0,0.0,0,2,0,0.0%
Talanoa Hufanga,SFO,1,3,1,33.3%,8,8.0,2.7,0,2.8,4.7,6,2,1,0,0,0.0,0,4,1,20.0%
Drake Jackson,SFO,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%
Kevin Givens,SFO,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
Nick Bosa,SFO,0,0,0,,,,,,,,,,0,0,0,1.0,1,4,0,0.0%
