Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Isiah Pacheco,KAN,8,43,0,1,32,4.0,11,1.4,0,
Clyde Edwards-Helaire,KAN,6,32,1,1,21,3.5,11,1.8,1,6.0
Chad Henne,KAN,3,-3,0,,-3,-1.0,0,0.0,0,
Mecole Hardman,KAN,2,28,2,2,28,14.0,0,0.0,0,
Jerick McKinnon,KAN,2,12,0,0,9,4.5,3,1.5,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Christian McCaffrey,SFO,8,38,0,2,28,3.5,10,1.3,1,8.0
Jeff Wilson,SFO,7,54,0,3,40,5.7,14,2.0,1,7.0
Tyrion Davis-Price,SFO,2,4,0,,0,0.0,4,2.0,1,2.0
Jimmy Garoppolo,SFO,2,2,0,1,2,1.0,0,0.0,0,
Brock Purdy,SFO,1,1,0,0,1,1.0,0,0.0,0,
Deebo Samuel,SFO,1,2,0,0,1,1.0,1,1.0,0,
