Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Matthew Stafford,DET,31,44,408,1,1,3,29,49,97.5,0,0,0,,0,0,0,0,,0,
Kevin Smith,DET,0,0,0,0,0,0,0,,,6,34,1,17,7,6,46,0,18,0,
Maurice Morris,DET,0,0,0,0,0,0,0,,,12,28,0,6,7,5,47,1,12,0,
Keiland Williams,DET,0,0,0,0,0,0,0,,,2,14,0,14,1,1,7,0,7,0,
Titus Young,DET,0,0,0,0,0,0,0,,,1,11,0,11,2,2,60,0,49,0,
Nate Burleson,DET,0,0,0,0,0,0,0,,,0,0,0,,8,5,93,0,47,0,
Calvin Johnson,DET,0,0,0,0,0,0,0,,,0,0,0,,8,6,69,0,22,0,
Tony Scheffler,DET,0,0,0,0,0,0,0,,,0,0,0,,4,2,41,0,36,0,
Rashied Davis,DET,0,0,0,0,0,0,0,,,0,0,0,,1,1,22,0,22,0,
Brandon Pettigrew,DET,0,0,0,0,0,0,0,,,0,0,0,,5,2,13,0,8,0,
Will Heller,DET,0,0,0,0,0,0,0,,,0,0,0,,1,1,10,0,10,0,
Stefan Logan,DET,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,,0,
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Drew Brees,NOR,26,36,342,3,0,2,4,67,129.6,0,0,0,,0,0,0,0,,0,
Mark Ingram,NOR,0,0,0,0,0,0,0,,,16,54,1,14,1,0,0,0,,0,
Darren Sproles,NOR,0,0,0,0,0,0,0,,,4,28,0,20,5,5,46,1,22,0,
Pierre Thomas,NOR,0,0,0,0,0,0,0,,,2,10,0,8,2,2,11,0,8,0,
Robert Meachem,NOR,0,0,0,0,0,0,0,,,1,8,0,8,6,3,119,1,67,0,
Jimmy Graham,NOR,0,0,0,0,0,0,0,,,0,0,0,,10,8,89,0,16,0,
Marques Colston,NOR,0,0,0,0,0,0,0,,,0,0,0,,8,6,54,0,18,0,
Lance Moore,NOR,0,0,0,0,0,0,0,,,0,0,0,,4,2,23,1,20,0,
