Quarter,Time,Tm,Detail,NWE,NYJ
1.0,8:10,Patriots,Stephen Gostkowski 50 yard field goal,3,0
,2:31,Patriots,Stephen Gostkowski 36 yard field goal,6,0
2.0,4:44,Jets,"Safety, Tom Brady called for intentional grounding in end zone.",6,2
,1:20,Jets,Mark Sanchez 2 yard rush (Nick Folk kick),6,9
,0:09,Patriots,Rob Gronkowski 18 yard pass from Tom Brady (Stephen Gostkowski kick),13,9
3.0,9:55,Patriots,Stephen Gostkowski 27 yard field goal,16,9
,4:44,Patriots,Rob Gronkowski 5 yard pass from Tom Brady (Stephen Gostkowski kick),23,9
4.0,14:55,Jets,Plaxico Burress 7 yard pass from Mark Sanchez (Nick Folk kick),23,16
,8:04,Patriots,Deion Branch 8 yard pass from Tom Brady (Stephen Gostkowski kick),30,16
,7:45,Patriots,Rob Ninkovich 12 yard interception return (Stephen Gostkowski kick),37,16
