Quarter,Time,Tm,Detail,HOU,DET
1,9:58,Lions,Mikel Leshoure 2 yard rush (Jason Hanson kick),0,7
2,10:57,Texans,Arian Foster 6 yard rush (Shayne Graham kick),7,7
,6:00,Lions,Mike Thomas 5 yard pass from Matthew Stafford (Jason Hanson kick),7,14
,2:11,Texans,Owen Daniels 9 yard pass from Matt Schaub (Shayne Graham kick),14,14
,1:49,Lions,Calvin Johnson 22 yard pass from Matthew Stafford (Jason Hanson kick),14,21
3,7:03,Lions,Jason Hanson 46 yard field goal,14,24
,6:35,Texans,Justin Forsett 81 yard rush (Shayne Graham kick),21,24
,2:36,Texans,Shayne Graham 45 yard field goal,24,24
4,13:31,Lions,Joique Bell 23 yard rush (Jason Hanson kick),24,31
,1:55,Texans,Arian Foster 1 yard rush (Shayne Graham kick),31,31
OT,2:21,Texans,Shayne Graham 32 yard field goal,34,31
