Quarter,Time,Tm,Detail,CAR,NOR
1.0,1:46,Saints,Ted Ginn Jr. 80 yard pass from Drew Brees (Wil Lutz kick),0,7
2.0,14:12,Panthers,Graham Gano 27 yard field goal,3,7
,9:04,Saints,Josh Hill 9 yard pass from Drew Brees (Wil Lutz kick),3,14
,2:47,Panthers,Graham Gano 39 yard field goal,6,14
,0:43,Saints,Zach Line 1 yard rush (Wil Lutz kick),6,21
,0:00,Panthers,Graham Gano 58 yard field goal,9,21
3.0,10:58,Panthers,Graham Gano 29 yard field goal,12,21
,6:05,Saints,Wil Lutz 57 yard field goal,12,24
4.0,12:47,Panthers,Greg Olsen 14 yard pass from Cam Newton (Graham Gano kick),19,24
,5:08,Saints,Alvin Kamara 2 yard rush (Wil Lutz kick),19,31
,4:09,Panthers,Christian McCaffrey 56 yard pass from Cam Newton (Graham Gano kick),26,31
