Quarter,Time,Tm,Detail,BAL,TEN
1.0,11:09,Titans,Rob Bironas 21 yard field goal,0,3
,9:30,Ravens,Mark Clayton 65 yard pass from Steve McNair (Matt Stover kick),7,3
,5:22,Titans,Vince Young 2 yard rush (Rob Bironas kick),7,10
,1:00,Titans,"Safety,",7,12
2.0,14:50,Titans,Bo Scaife 13 yard rush (Rob Bironas kick),7,19
,9:51,Titans,Travis Henry 1 yard rush (Rob Bironas kick),7,26
,4:51,Ravens,Ovie Mughelli 30 yard pass from Steve McNair (Matt Stover kick),14,26
,0:00,Ravens,Matt Stover 27 yard field goal,17,26
4.0,14:06,Ravens,Matt Stover 40 yard field goal,20,26
,3:35,Ravens,Derrick Mason 11 yard pass from Steve McNair (Matt Stover kick),27,26
