Quarter,Time,Tm,Detail,PHI,DEN
1.0,10:17,Broncos,Mike Anderson 2 yard rush (Jason Elam kick),0,7
,4:30,Broncos,Kyle Johnson 6 yard pass from Jake Plummer (Jason Elam kick),0,14
2.0,12:16,Broncos,Rod Smith 2 yard pass from Jake Plummer (Jason Elam kick),0,21
,7:47,Broncos,Stephen Alexander 3 yard pass from Jake Plummer (Jason Elam kick),0,28
,1:13,Eagles,L.J. Smith 1 yard pass from Donovan McNabb (Jose Cortez kick),7,28
3.0,9:46,Eagles,Terrell Owens 91 yard pass from Donovan McNabb (Jose Cortez kick),14,28
,1:33,Eagles,Brian Westbrook 14 yard pass from Donovan McNabb (Jose Cortez kick),21,28
4.0,9:53,Broncos,Todd Devoe 44 yard pass from Jake Plummer (Jason Elam kick),21,35
,6:31,Broncos,Tatum Bell 67 yard rush (Jason Elam kick),21,42
,0:26,Broncos,Tatum Bell 6 yard rush (Jason Elam kick),21,49
