Quarter,Time,Down,ToGo,Location,HOU,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,HOU 25,0,0,Davis Mills pass incomplete short middle,0.610,0.060
1,14:57,2,10,HOU 25,0,0,Dameon Pierce left tackle for 8 yards (tackle by K'Waun Williams),0.060,0.430
1,14:20,3,2,HOU 33,0,0,Dameon Pierce right end for no gain (tackle by D.J. Jones),0.430,-1.180
1,13:43,4,2,HOU 33,0,0,"Cameron Johnston punts 64 yards, returned by Montrell Washington for 13 yards (tackle by Eric Murray and Jon Weeks). Penalty on Andrew Beck: Offensive Illegal Block Above the Waist, 10 yards (accepted)",-1.180,0.380
1,13:29,1,10,DEN 8,0,0,Javonte Williams right end for 9 yards (tackle by Kamu Grugier-Hill and Jonathan Owens),-0.380,0.050
1,12:59,2,1,DEN 17,0,0,"Russell Wilson pass incomplete short middle intended for Courtland Sutton. Penalty on Derek Stingley: Defensive Pass Interference, 10 yards (accepted) (no play)",0.050,0.740
1,12:55,1,10,DEN 27,0,0,Javonte Williams left tackle for 5 yards (tackle by Jalen Pitre and Jerry Hughes),0.740,0.870
1,12:24,2,5,DEN 32,0,0,Russell Wilson pass complete deep right to Courtland Sutton for 21 yards (tackle by Derek Stingley),0.870,2.460
1,11:47,1,10,HOU 47,0,0,Melvin Gordon right tackle for -1 yards (tackle by Kurt Hinish and Ogbonnia Okoronkwo),2.460,1.780
1,11:03,2,11,HOU 48,0,0,Russell Wilson pass incomplete deep right intended for Jerry Jeudy,1.780,1.090
1,10:58,3,11,HOU 48,0,0,Russell Wilson pass incomplete short left intended for Albert Okwuegbunam,1.090,0.070
1,10:54,4,11,HOU 48,0,0,"Corliss Waitman punts 48 yards, touchback.",0.070,-0.280
1,10:46,1,10,HOU 20,0,0,Davis Mills pass complete short right to Brandin Cooks for 5 yards (tackle by Patrick Surtain),0.280,0.410
1,10:26,2,5,HOU 25,0,0,Davis Mills pass complete short left to Brandin Cooks for 1 yard (tackle by Kareem Jackson),0.410,-0.160
1,9:52,3,4,HOU 26,0,0,Davis Mills pass complete short left to Nico Collins for 5 yards (tackle by Patrick Surtain),-0.160,1.000
1,9:23,1,10,HOU 31,0,0,Davis Mills pass incomplete short left intended for Nico Collins,1.000,0.460
1,9:19,2,10,HOU 31,0,0,Davis Mills pass complete short right to Chris Moore for 9 yards (tackle by Jonas Griffith),0.460,0.960
1,8:40,3,1,HOU 40,0,0,Dameon Pierce up the middle for -4 yards (tackle by Randy Gregory),0.960,-0.980
1,8:00,4,5,HOU 36,0,0,"Cameron Johnston punts 48 yards, returned by Montrell Washington for 19 yards (tackle by M.J. Stewart)",-0.980,-1.270
1,7:48,1,10,DEN 35,0,0,Russell Wilson pass complete short right to Jerry Jeudy for 11 yards (tackle by Derek Stingley),1.270,1.990
1,7:09,1,10,DEN 46,0,0,"Montrell Washington left end for 19 yards (tackle by Derek Stingley). Penalty on Melvin Gordon: Offensive Holding, 10 yards (accepted)",1.990,3.310
1,6:44,1,1,HOU 45,0,0,Jerry Jeudy right end for 1 yard (tackle by Steven Nelson),3.310,2.650
1,6:01,1,10,HOU 44,0,0,Russell Wilson pass incomplete short left intended for Jerry Jeudy (defended by Steven Nelson),2.650,2.110
