Quarter,Time,Tm,Detail,BAL,CLE
1.0,10:40,Ravens,Matt Stover 41 yard field goal,3,0
,5:19,Ravens,Mark Clayton 47 yard pass from Joe Flacco (Matt Stover kick),10,0
,5:05,Browns,Josh Cribbs 92 yard kickoff return (Phil Dawson kick),10,7
2.0,5:50,Browns,Phil Dawson 23 yard field goal,10,10
,0:29,Ravens,Matt Stover 32 yard field goal,13,10
,0:03,Browns,Phil Dawson 54 yard field goal,13,13
3.0,13:05,Browns,Braylon Edwards 28 yard pass from Derek Anderson (Phil Dawson kick),13,20
,6:07,Browns,Jason Wright 7 yard pass from Derek Anderson (Phil Dawson kick),13,27
,1:10,Ravens,Le'Ron McClain 1 yard rush (Matt Stover kick),20,27
4.0,13:57,Ravens,Derrick Mason 28 yard pass from Joe Flacco (Matt Stover kick),27,27
,5:36,Ravens,Matt Stover 22 yard field goal,30,27
,2:43,Ravens,Terrell Suggs 42 yard interception return (Matt Stover kick),37,27
