Quarter,Time,Tm,Detail,CIN,NWE
1.0,10:03,Patriots,Stevan Ridley 1 yard rush (Stephen Gostkowski kick),0,7
,3:12,Patriots,Tim Wright 17 yard pass from Tom Brady (Stephen Gostkowski kick),0,14
2.0,4:33,Bengals,Mike Nugent 23 yard field goal,3,14
,1:12,Patriots,Stephen Gostkowski 48 yard field goal,3,17
,0:09,Patriots,Stephen Gostkowski 19 yard field goal,3,20
3.0,11:27,Bengals,Mohamed Sanu 37 yard pass from Andy Dalton (Mike Nugent kick),10,20
,6:06,Patriots,Rob Gronkowski 16 yard pass from Tom Brady (Stephen Gostkowski kick),10,27
,6:00,Patriots,Kyle Arrington 9 yard fumble return (Stephen Gostkowski kick),10,34
,3:43,Bengals,A.J. Green 17 yard pass from Andy Dalton (Mike Nugent kick),17,34
4.0,14:54,Patriots,Stephen Gostkowski 23 yard field goal,17,37
,7:53,Patriots,Stephen Gostkowski 47 yard field goal,17,40
,2:55,Patriots,Stephen Gostkowski 35 yard field goal,17,43
