Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Kadarius Toney,NYG,12,7,40,0,1,27,3.9,13,1.9,6.5,1,7.0,0,0.0,0,64.6
Saquon Barkley,NYG,6,6,31,0,2,-4,-0.7,35,5.8,-0.7,1,6.0,0,0.0,0,88.2
Darius Slayton,NYG,7,4,37,0,1,32,8.0,5,1.3,13.9,1,4.0,0,0.0,1,32.1
Evan Engram,NYG,5,2,12,0,1,5,2.5,7,3.5,3.0,0,,0,0.0,0,47.9
Devontae Booker,NYG,1,1,5,0,0,0,0.0,5,5.0,0.0,0,,0,0.0,0,87.5
Andrew Thomas,NYG,1,1,2,1,1,2,2.0,0,0.0,2.0,0,,0,0.0,0,118.7
Kyle Rudolph,NYG,1,1,28,0,1,17,17.0,11,11.0,17.0,0,,0,0.0,0,118.7
Kenny Golladay,NYG,2,1,12,0,1,10,10.0,2,2.0,9.0,0,,0,0.0,0,68.7
Chris Myarick,NYG,1,0,0,0,,0,,0,,-1.0,0,,0,0.0,1,0.0
Collin Johnson,NYG,1,0,0,0,,0,,0,,5.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Rob Gronkowski,TAM,8,6,71,0,1,59,9.8,12,2.0,8.1,1,6.0,0,0.0,0,101.6
Chris Godwin,TAM,6,6,65,1,4,31,5.2,34,5.7,5.2,0,,0,0.0,0,151.4
Leonard Fournette,TAM,6,6,39,0,2,-7,-1.2,46,7.7,-1.2,0,,0,0.0,0,93.7
Mike Evans,TAM,11,6,73,1,5,53,8.8,20,3.3,8.3,2,3.0,1,9.1,1,67.6
Breshad Perriman,TAM,4,2,19,0,1,16,8.0,3,1.5,12.8,0,,1,25.0,0,63.5
Cameron Brate,TAM,6,2,27,0,2,23,11.5,4,2.0,9.7,0,,0,0.0,0,48.6
O.J. Howard,TAM,1,1,10,0,1,4,4.0,6,6.0,4.0,0,,0,0.0,0,108.3
Tyler Johnson,TAM,3,1,8,0,1,8,8.0,0,0.0,12.0,0,,0,0.0,0,42.4
Jaelon Darden,TAM,1,1,3,0,,-2,-2.0,5,5.0,-2.0,0,,0,0.0,0,79.2
Giovani Bernard,TAM,1,1,3,0,,0,0.0,3,3.0,0.0,0,,0,0.0,0,79.2
