Quarter,Time,Tm,Detail,TEN,MIA
1.0,8:25,Dolphins,Zach Sieler 5 yard interception return (Jason Sanders kick),0,7
2.0,6:53,Titans,Derrick Henry 1 yard rush (Nick Folk kick),7,7
,0:00,Titans,Nick Folk 28 yard field goal,10,7
3.0,9:35,Dolphins,Jason Sanders 20 yard field goal,10,10
,0:09,Titans,Nick Folk 23 yard field goal,13,10
4.0,12:37,Dolphins,Jason Sanders 31 yard field goal,13,13
,5:34,Dolphins,Raheem Mostert 3 yard rush (Jason Sanders kick),13,20
,4:34,Dolphins,Raheem Mostert 5 yard rush (Jason Sanders kick),13,27
,2:40,Titans,DeAndre Hopkins 3 yard pass from Will Levis (Nick Westbrook-Ikhine pass from Will Levis),21,27
,1:49,Titans,Derrick Henry 3 yard rush (Nick Folk kick),28,27
