Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Ja'Marr Chase,CIN,10,8,201,1,7,86,10.8,115,14.4,11.7,1,8.0,0,0.0,1,112.5
Tee Higgins,CIN,15,7,62,0,3,55,7.9,7,1.0,11.9,0,,0,0.0,0,58.2
Tyler Boyd,CIN,7,4,39,0,1,22,5.5,17,4.3,6.3,0,,0,0.0,0,72.9
C.J. Uzomah,CIN,3,3,91,2,3,50,16.7,41,13.7,16.7,0,,0,0.0,0,158.3
Samaje Perine,CIN,1,1,23,0,1,4,4.0,19,19.0,4.0,0,,0,0.0,0,118.7
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Marquise Brown,BAL,14,5,80,1,2,73,14.6,7,1.4,22.9,0,,0,0.0,0,79.5
Mark Andrews,BAL,7,3,48,0,2,36,12.0,12,4.0,11.7,0,,0,0.0,0,66.4
Rashod Bateman,BAL,6,3,80,0,3,45,15.0,35,11.7,11.5,0,,0,0.0,0,95.8
Devonta Freeman,BAL,3,3,25,0,1,7,2.3,18,6.0,2.3,0,,0,0.0,0,101.4
Josh Oliver,BAL,5,2,29,0,2,21,10.5,8,4.0,15.8,0,,0,0.0,0,59.6
Ty'Son Williams,BAL,2,2,24,0,1,7,3.5,17,8.5,3.5,0,,0,0.0,0,116.7
Le'Veon Bell,BAL,2,1,-1,0,0,-1,-1.0,0,0.0,1.0,0,,1,50.0,0,56.2
Devin Duvernay,BAL,1,1,11,0,1,11,11.0,0,0.0,11.0,0,,0,0.0,0,112.5
James Proche,BAL,1,0,0,0,,0,,0,,4.0,0,,0,0.0,0,39.6
