Quarter,Time,Tm,Detail,BAL,MIA
1.0,10:24,Ravens,Justin Tucker 42 yard field goal,3,0
,2:16,Dolphins,Caleb Sturgis 37 yard field goal,3,3
2.0,11:52,Ravens,Justin Tucker 50 yard field goal,6,3
,8:07,Dolphins,Caleb Sturgis 25 yard field goal,6,6
,0:46,Dolphins,Charles Clay 9 yard pass from Ryan Tannehill (Caleb Sturgis kick),6,13
3.0,12:07,Ravens,Ray Rice 2 yard rush (Justin Tucker kick),13,13
,4:18,Ravens,Justin Tucker 25 yard field goal,16,13
4.0,12:06,Ravens,Ray Rice 3 yard rush (Justin Tucker kick),23,13
,9:38,Dolphins,Caleb Sturgis 48 yard field goal,23,16
,8:03,Dolphins,Reshad Jones 25 yard interception return (Caleb Sturgis kick),23,23
,1:42,Ravens,Justin Tucker 44 yard field goal,26,23
